G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,2013,BRK
82.0,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,2014,BRK
82.0,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,2015,BRK
82.0,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089,2016,BRK
82.0,19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673,2017,BRK
82.0,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741,2018,BRK
82.0,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,2019,BRK
72.0,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,2020,BRK
72.0,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,2021,BRK
82.0,19755,3442,7251,0.475,940,2602,0.361,2502,4649,0.538,1434,1781,0.805,844,2796,3640,2071,582,448,1153,1670,9258,2022,BRK
82.0,19730,3399,6978,0.487,1048,2771,0.378,2351,4207,0.559,1449,1811,0.8,674,2648,3322,2093,585,506,1127,1730,9295,2023,BRK
82.0,19805,3334,7307,0.456,1089,3010,0.362,2245,4297,0.522,1293,1711,0.756,938,2675,3613,2102,556,424,1076,1516,9050,2024,BRK
