G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19780.0,3426.0,7430.0,0.461,134.0,430.0,0.312,3292.0,7000.0,0.47,1580.0,2060.0,0.767,1138.0,2200.0,3338.0,2323.0,705.0,264.0,1318.0,2068.0,8566.0,1989,CHH
82.0,19755,3270,7183,0.455,205,611,0.336,3065,6572,0.466,1487,1967,0.756,962,2211,3173,2080,778,262,1226,1889,8232,1990,CHH
82.0,19805,3286,7033,0.467,131,417,0.314,3155,6616,0.477,1725,2214,0.779,1027,2200,3227,2019,759,304,1290,1946,8428,1991,CHH
82.0,19805,3613,7568,0.477,117,369,0.317,3496,7199,0.486,1637,2168,0.755,1164,2367,3531,2284,822,309,1273,1819,8980,1992,CHH
82.0,19755,3512,7210,0.487,175,537,0.326,3337,6673,0.5,1831,2374,0.771,1095,2508,3603,2161,639,473,1325,1790,9030,1993,CHH
82.0,19830,3382,7100,0.476,336,916,0.367,3046,6184,0.493,1632,2135,0.764,1019,2475,3494,2214,724,394,1266,1747,8732,1994,CHH
82.0,19805,3051,6438,0.474,560,1409,0.397,2491,5029,0.495,1587,2042,0.777,832,2395,3227,2072,620,399,1224,1685,8249,1995,CHH
82.0,19880,3108,6618,0.47,584,1520,0.384,2524,5098,0.495,1631,2119,0.77,987,2256,3243,1907,582,277,1241,1815,8431,1996,CHH
82.0,19805,2988,6342,0.471,591,1382,0.428,2397,4960,0.483,1541,1984,0.777,910,2298,3208,2021,597,349,1203,1702,8108,1997,CHH
82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,1998,CHH
50.0,12150,1671,3718,0.449,268,735,0.365,1403,2983,0.47,1034,1384,0.747,480,1493,1973,1110,443,247,796,1101,4644,1999,CHH
82.0,19780,2935,6533,0.449,339,1001,0.339,2596,5532,0.469,1863,2458,0.758,884,2635,3519,2023,732,480,1206,1670,8072,2000,CHH
82.0,19880,2800,6501,0.431,340,984,0.346,2460,5517,0.446,1599,2146,0.745,1033,2608,3641,1900,665,455,1183,1753,7539,2001,CHH
82.0,19755,2893,6580,0.44,346,994,0.348,2547,5586,0.456,1568,2105,0.745,1059,2505,3564,1759,653,456,1150,1747,7700,2002,CHH
