G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19905,3362,6943,0.484,70.0,275.0,0.255,3292,6668,0.494,2019,2592,0.779,1115,2465,3580,2152,704,392,1684,2146,8813,1980,CHI
82.0,19780,3457,6903,0.501,38,179,0.212,3419,6724,0.508,1985,2563,0.774,1227,2475,3702,1925,729,514,1672,2058,8937,1981,CHI
82.0,19880,3369,6728,0.501,54,213,0.254,3315,6515,0.509,1951,2545,0.767,1125,2525,3650,2043,580,483,1636,2008,8743,1982,CHI
82.0,19905,3537,7373,0.48,45,209,0.215,3492,7164,0.487,1983,2690,0.737,1267,2527,3794,2086,666,400,1743,2192,9102,1983,CHI
82.0,19980,3305,6972,0.474,20,117,0.171,3285,6855,0.479,1871,2508,0.746,1141,2300,3441,2095,687,454,1578,2196,8501,1984,CHI
82.0,19805,3453,6909,0.5,29,161,0.18,3424,6748,0.507,1981,2526,0.784,1074,2366,3440,1992,622,468,1463,2071,8916,1985,CHI
82.0,19855,3476,7227,0.481,88,317,0.278,3388,6910,0.49,1922,2499,0.769,1280,2278,3558,2006,609,400,1436,2166,8962,1986,CHI
82.0,19830,3382,7155,0.473,78,299,0.261,3304,6856,0.482,1754,2254,0.778,1248,2400,3648,2143,677,438,1257,1922,8596,1987,CHI
82.0,19855,3434,7015,0.49,56,243,0.23,3378,6772,0.499,1685,2221,0.759,1170,2459,3629,2149,712,475,1263,1849,8609,1988,CHI
82.0,19780,3448,6968,0.495,174,530,0.328,3274,6438,0.509,1656,2106,0.786,1018,2453,3471,2213,722,376,1327,1855,8726,1989,CHI
82.0,19830,3531,7090,0.498,250,669,0.374,3281,6421,0.511,1665,2140,0.778,1075,2279,3354,2172,814,388,1247,1906,8977,1990,CHI
82.0,19755,3632,7125,0.51,155,424,0.366,3477,6701,0.519,1605,2111,0.76,1148,2342,3490,2212,822,438,1184,1751,9024,1991,CHI
