G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721,2015,CHO
82.0,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1029,1487,8479,2016,CHO
82.0,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601,2017,CHO
82.0,19780,3197,7106,0.45,824,2233,0.369,2373,4873,0.487,1656,2216,0.747,827,2901,3728,1770,559,373,1041,1409,8874,2018,CHO
82.0,19830,3297,7362,0.448,977,2783,0.351,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,2019,CHO
65.0,15750,2425,5586,0.434,785,2231,0.352,1640,3355,0.489,1052,1406,0.748,715,2066,2781,1549,428,268,949,1223,6687,2020,CHO
72.0,17355,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,1146,1505,0.761,762,2389,3151,1933,565,344,1069,1298,7881,2021,CHO
82.0,19880,3508,7497,0.468,1143,3130,0.365,2365,4367,0.542,1298,1753,0.74,888,2767,3655,2302,707,402,1087,1629,9457,2022,CHO
82.0,19830,3385,7413,0.457,881,2669,0.33,2504,4744,0.528,1447,1933,0.749,901,2751,3652,2062,634,425,1164,1661,9098,2023,CHO
82.0,19730,3281,7133,0.46,989,2788,0.355,2292,4345,0.528,1189,1512,0.786,765,2538,3303,2033,562,371,1129,1472,8740,2024,CHO
