G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19930,3811,8041,0.474,36.0,187.0,0.193,3775,7854,0.481,1702,2205,0.772,1307,2381,3688,2108,764,342,1370,1934,9360,1980,CLE
82.0,19780,3556,7609,0.467,72,249,0.289,3484,7360,0.473,1486,1909,0.778,1258,2243,3501,2007,632,322,1396,1995,8670,1981,CLE
82.0,19805,3405,7334,0.464,25,137,0.182,3380,7197,0.47,1628,2179,0.747,1190,2170,3360,1871,634,357,1319,2193,8463,1982,CLE
82.0,19755,3252,6995,0.465,30,120,0.25,3222,6875,0.469,1430,1983,0.721,1173,2414,3587,1738,617,290,1538,2236,7964,1983,CLE
82.0,19855,3362,7232,0.465,43,164,0.262,3319,7068,0.47,1619,2178,0.743,1213,2388,3601,1930,630,375,1332,2206,8386,1984,CLE
82.0,19780,3470,7364,0.471,96,335,0.287,3374,7029,0.48,1867,2491,0.749,1203,2445,3648,2096,622,472,1387,2173,8903,1985,CLE
82.0,19780,3478,7239,0.48,132,391,0.338,3346,6848,0.489,1748,2325,0.752,1086,2455,3541,2064,627,436,1411,2267,8836,1986,CLE
82.0,19755,3349,7122,0.47,81,338,0.24,3268,6784,0.482,1779,2554,0.697,1257,2420,3677,1912,672,559,1619,1853,8558,1987,CLE
82.0,19780,3313,6755,0.49,127,336,0.378,3186,6419,0.496,1813,2438,0.744,1015,2289,3304,2070,733,526,1439,1836,8566,1988,CLE
82.0,19755,3466,6904,0.502,170,474,0.359,3296,6430,0.513,1821,2438,0.747,1033,2475,3508,2260,791,586,1323,1592,8923,1989,CLE
82.0,19880,3214,6977,0.461,346,851,0.407,2868,6126,0.468,1637,2201,0.744,1128,2380,3508,2106,645,512,1243,1666,8411,1990,CLE
82.0,19830,3259,6857,0.475,160,479,0.334,3099,6378,0.486,1665,2176,0.765,1011,2329,3340,2240,643,450,1281,1672,8343,1991,CLE
82.0,19805,3427,7025,0.488,253,708,0.357,3174,6317,0.502,1819,2259,0.805,1041,2450,3491,2260,616,621,1073,1556,8926,1992,CLE
82.0,19830,3425,6887,0.497,283,742,0.381,3142,6145,0.511,1699,2119,0.802,929,2496,3425,2349,615,536,1120,1580,8832,1993,CLE
82.0,19855,3133,6731,0.465,294,813,0.362,2839,5918,0.48,1736,2254,0.77,1090,2353,3443,2049,705,426,1136,1701,8296,1994,CLE
82.0,19930,2756,6255,0.441,398,1033,0.385,2358,5222,0.452,1507,1982,0.76,1045,2237,3282,1672,630,349,1176,1694,7417,1995,CLE
82.0,19830,2761,5998,0.46,596,1582,0.377,2165,4416,0.49,1355,1775,0.763,867,2055,2922,1818,674,340,1073,1685,7473,1996,CLE
82.0,19855,2704,5972,0.453,483,1284,0.376,2221,4688,0.474,1282,1773,0.723,909,2159,3068,1714,655,315,1188,1882,7173,1997,CLE
82.0,19830,2817,6207,0.454,298,801,0.372,2519,5406,0.466,1653,2187,0.756,955,2331,3286,1894,814,419,1421,1939,7585,1998,CLE
50.0,12050,1562,3561,0.439,182,534,0.341,1380,3027,0.456,1016,1356,0.749,472,1316,1788,1093,452,203,785,1208,4322,1999,CLE
82.0,19855,2977,6734,0.442,343,919,0.373,2634,5815,0.453,1653,2205,0.75,1010,2499,3509,1941,715,363,1427,2219,7950,2000,CLE
82.0,19830,2890,6532,0.442,220,659,0.334,2670,5873,0.455,1561,2040,0.765,1015,2440,3455,1708,642,436,1350,1904,7561,2001,CLE
82.0,19855,2948,6582,0.448,387,1026,0.377,2561,5556,0.461,1529,1980,0.772,968,2483,3451,1891,572,470,1196,1752,7812,2002,CLE
82.0,19830,2850,6746,0.422,293,896,0.327,2557,5850,0.437,1502,2012,0.747,1118,2542,3660,1712,636,521,1501,1864,7495,2003,CLE
82.0,19855,2922,6753,0.433,247,786,0.314,2675,5967,0.448,1528,2030,0.753,1118,2619,3737,1808,585,537,1216,1743,7619,2004,CLE
82.0,19855,2990,6687,0.447,300,904,0.332,2690,5783,0.465,1634,2174,0.752,1117,2352,3469,1851,654,461,1141,1850,7914,2005,CLE
82.0,19830,2908,6412,0.454,497,1465,0.339,2411,4947,0.487,1689,2318,0.729,959,2511,3470,1560,567,392,1137,1733,8002,2006,CLE
82.0,19880,2978,6658,0.447,494,1404,0.352,2484,5254,0.473,1484,2133,0.696,1039,2529,3568,1708,625,353,1177,1781,7934,2007,CLE
82.0,19855,2937,6697,0.439,552,1544,0.358,2385,5153,0.463,1477,2061,0.717,1092,2563,3655,1640,579,427,1145,1712,7903,2008,CLE
82.0,19780,3022,6454,0.468,656,1670,0.393,2366,4784,0.495,1523,2012,0.757,886,2574,3460,1663,593,435,1045,1663,8223,2009,CLE
82.0,19780,3101,6391,0.485,602,1582,0.381,2499,4809,0.52,1569,2180,0.72,791,2692,3483,1835,564,425,1137,1591,8373,2010,CLE
82.0,19755,2886,6647,0.434,509,1489,0.342,2377,5158,0.461,1546,2075,0.745,856,2449,3305,1720,544,341,1166,1648,7827,2011,CLE
66.0,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,2012,CLE
82.0,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,2013,CLE
82.0,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,2014,CLE
82.0,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,2015,CLE
82.0,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,2016,CLE
82.0,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,2017,CLE
82.0,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,2018,CLE
82.0,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,2019,CLE
65.0,15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,2020,CLE
72.0,17430,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,1200,1614,0.743,751,2327,3078,1716,559,325,1114,1308,7476,2021,CLE
82.0,19730,3255,6940,0.469,953,2686,0.355,2302,4254,0.541,1376,1810,0.76,837,2786,3623,2064,580,343,1181,1433,8839,2022,CLE
82.0,19880,3408,6984,0.488,950,2589,0.367,2458,4395,0.559,1439,1844,0.78,795,2574,3369,2045,586,384,1094,1560,9205,2023,CLE
82.0,19805,3425,7148,0.479,1108,3016,0.367,2317,4132,0.561,1278,1671,0.765,807,2742,3549,2299,605,380,1112,1436,9236,2024,CLE
