G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19830,3462,7470,0.463,83.0,255.0,0.325,3379,7215,0.468,1871,2539,0.737,1311,2524,3835,2079,746,404,1533,1917,8878,1980,DEN
82.0,19955,3784,7960,0.475,30,145,0.207,3754,7815,0.48,2388,3051,0.783,1325,2497,3822,2030,720,380,1444,2108,9986,1981,DEN
82.0,19830,3980,7656,0.52,40,149,0.268,3940,7507,0.525,2371,2978,0.796,1149,2443,3592,2272,664,368,1470,2131,10371,1982,DEN
82.0,19730,3951,7999,0.494,24,126,0.19,3927,7873,0.499,2179,2696,0.808,1214,2524,3738,2336,789,352,1496,2091,10105,1983,DEN
82.0,19805,3935,7983,0.493,77,255,0.302,3858,7728,0.499,2200,2690,0.818,1133,2444,3577,2482,711,352,1344,2279,10147,1984,DEN
82.0,19830,3876,7976,0.486,73,235,0.311,3803,7741,0.491,2016,2568,0.785,1331,2303,3634,2266,894,424,1382,2152,9841,1985,DEN
82.0,19755,3705,7868,0.471,71,305,0.233,3634,7563,0.48,1929,2416,0.798,1223,2317,3540,2140,826,421,1336,2164,9410,1986,DEN
82.0,19780,3744,7951,0.471,106,391,0.271,3638,7560,0.481,1975,2568,0.769,1294,2368,3662,2317,754,421,1216,2184,9569,1987,DEN
82.0,19780,3770,7961,0.474,192,562,0.342,3578,7399,0.484,1841,2289,0.804,1163,2442,3605,2300,832,401,1186,1982,9573,1988,DEN
82.0,19880,3813,8140,0.468,228,676,0.337,3585,7464,0.48,1821,2314,0.787,1206,2513,3719,2282,811,436,1225,2088,9675,1989,DEN
82.0,19805,3716,8015,0.464,228,677,0.337,3488,7338,0.475,1737,2201,0.789,1169,2532,3701,2275,814,329,1136,2047,9397,1990,DEN
82.0,19730,3901,8868,0.44,300,1059,0.283,3601,7809,0.461,1726,2263,0.763,1520,2530,4050,2005,856,406,1332,2235,9828,1991,DEN
82.0,19780,3262,7380,0.442,126,418,0.301,3136,6962,0.45,1526,2067,0.738,1350,2352,3702,1553,773,461,1447,1984,8176,1992,DEN
82.0,19830,3352,7282,0.46,138,454,0.304,3214,6828,0.471,1784,2360,0.756,1266,2564,3830,1735,651,565,1413,2039,8626,1993,DEN
82.0,19755,3156,6781,0.465,170,597,0.285,2986,6184,0.483,1739,2423,0.718,1105,2557,3662,1763,679,686,1422,1926,8221,1994,DEN
82.0,19980,3098,6461,0.479,413,1160,0.356,2685,5301,0.507,1700,2305,0.738,1040,2402,3442,1836,660,585,1381,2063,8309,1995,DEN
82.0,19830,3001,6657,0.451,397,1148,0.346,2604,5509,0.473,1614,2173,0.743,1057,2487,3544,1851,521,597,1265,1882,8013,1996,DEN
82.0,19930,2934,6687,0.439,636,1711,0.372,2298,4976,0.462,1516,1992,0.761,994,2452,3446,1889,503,487,1359,1784,8020,1997,DEN
82.0,19730,2677,6412,0.417,288,893,0.323,2389,5519,0.433,1658,2147,0.772,1040,2157,3197,1547,664,393,1312,1937,7300,1998,DEN
50.0,12025,1681,3989,0.421,302,922,0.328,1379,3067,0.45,1010,1325,0.762,647,1392,2039,969,376,275,739,1145,4674,1999,DEN
82.0,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,554,618,1281,1962,8115,2000,DEN
82.0,19780,2979,6877,0.433,512,1444,0.355,2467,5433,0.454,1448,1964,0.737,1044,2583,3627,1970,552,538,1136,1820,7918,2001,DEN
82.0,19805,2915,6870,0.424,423,1285,0.329,2492,5585,0.446,1306,1756,0.744,1117,2310,3427,1817,613,462,1205,1873,7559,2002,DEN
82.0,19730,2689,6544,0.411,229,824,0.278,2460,5720,0.43,1294,1850,0.699,1112,2363,3475,1737,712,422,1514,2056,6901,2003,DEN
82.0,19730,2993,6763,0.443,331,985,0.336,2662,5778,0.461,1655,2159,0.767,1083,2387,3470,1794,745,520,1278,1804,7972,2004,DEN
82.0,19755,3038,6615,0.459,320,940,0.34,2718,5675,0.479,1765,2313,0.763,967,2473,3440,1958,750,489,1224,1878,8161,2005,DEN
