G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19780,3643,7596,0.48,57.0,219.0,0.26,3586,7377,0.486,1590,2149,0.74,1226,2415,3641,1950,783,562,1742,2069,8933,1980,DET
82.0,19755,3236,6986,0.463,13,84,0.155,3223,6902,0.467,1689,2330,0.725,1201,2111,3312,1819,884,492,1759,2125,8174,1981,DET
82.0,19830,3561,7391,0.482,52,213,0.244,3509,7178,0.489,1938,2581,0.751,1298,2345,3643,2027,741,564,1629,2160,9112,1982,DET
82.0,19880,3623,7602,0.477,72,272,0.265,3551,7330,0.484,1921,2588,0.742,1312,2477,3789,2108,679,572,1557,2122,9239,1983,DET
82.0,19905,3798,7910,0.48,32,141,0.227,3766,7769,0.485,1974,2547,0.775,1427,2434,3861,2256,697,417,1310,2177,9602,1984,DET
82.0,19830,3840,7999,0.48,45,199,0.226,3795,7800,0.487,1783,2262,0.788,1403,2534,3937,2302,691,397,1341,2076,9508,1985,DET
82.0,19780,3754,7750,0.484,55,182,0.302,3699,7568,0.489,1800,2300,0.783,1276,2461,3737,2319,738,340,1343,2101,9363,1986,DET
82.0,19830,3544,7237,0.49,39,169,0.231,3505,7068,0.496,1991,2602,0.765,1245,2649,3894,2021,643,436,1417,2078,9118,1987,DET
82.0,19780,3461,7018,0.493,58,202,0.287,3403,6816,0.499,1977,2612,0.757,1181,2482,3663,2011,588,394,1348,1957,8957,1988,DET
82.0,19830,3395,6879,0.494,120,400,0.3,3275,6479,0.505,1830,2379,0.769,1154,2546,3700,2027,522,406,1336,1939,8740,1989,DET
82.0,19805,3333,6980,0.478,177,541,0.327,3156,6439,0.49,1713,2252,0.761,1185,2458,3643,1996,512,418,1233,1961,8556,1990,DET
82.0,19805,3194,6875,0.465,131,440,0.298,3063,6435,0.476,1686,2211,0.763,1206,2452,3658,1825,487,367,1181,1869,8205,1991,DET
82.0,19780,3191,6867,0.465,165,526,0.314,3026,6341,0.477,1566,2108,0.743,1210,2421,3631,1899,546,357,1212,1646,8113,1992,DET
82.0,19780,3267,7211,0.453,292,908,0.322,2975,6303,0.472,1426,1957,0.729,1293,2315,3608,1941,580,249,1152,1747,8252,1993,DET
82.0,19730,3169,7017,0.452,358,1041,0.344,2811,5976,0.47,1253,1715,0.731,1027,2320,3347,1767,602,309,1236,1935,7949,1994,DET
82.0,19730,3060,6633,0.461,494,1396,0.354,2566,5237,0.49,1439,1941,0.741,958,2204,3162,1872,705,420,1318,2151,8053,1995,DET
82.0,19830,2810,6122,0.459,545,1350,0.404,2265,4772,0.475,1657,2206,0.751,884,2440,3324,1610,506,352,1215,1953,7822,1996,DET
