G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19880,3527,7318,0.482,27.0,121.0,0.223,3500,7197,0.486,1412,1914,0.738,1155,2437,3592,2028,779,339,1492,2082,8493,1980,GSW
82.0,19730,3560,7284,0.489,60,210,0.286,3500,7074,0.495,1826,2513,0.727,1403,2366,3769,2026,611,301,1547,2158,9006,1981,GSW
82.0,19780,3646,7349,0.496,91,325,0.28,3555,7024,0.506,1709,2382,0.717,1282,2452,3734,1820,685,391,1424,2225,9092,1982,GSW
82.0,19780,3627,7508,0.483,34,150,0.227,3593,7358,0.488,1620,2199,0.737,1281,2284,3565,1964,856,430,1606,2138,8908,1983,GSW
82.0,19830,3519,7534,0.467,55,226,0.243,3464,7308,0.474,1915,2577,0.743,1390,2171,3561,1837,830,348,1518,2108,9008,1984,GSW
82.0,19855,3498,7555,0.463,112,397,0.282,3386,7158,0.473,1944,2531,0.768,1327,2139,3466,1759,803,284,1460,2136,9052,1985,GSW
82.0,19780,3650,7567,0.482,87,278,0.313,3563,7289,0.489,1912,2517,0.76,1271,2344,3615,2018,751,354,1400,2032,9299,1986,GSW
82.0,19905,3551,7412,0.479,116,364,0.319,3435,7048,0.487,1970,2526,0.78,1193,2351,3544,2083,715,321,1354,2138,9188,1987,GSW
82.0,19780,3463,7404,0.468,91,312,0.292,3372,7092,0.475,1754,2204,0.796,1140,2252,3392,2005,741,283,1395,2155,8771,1988,GSW
82.0,19905,3730,7977,0.468,194,629,0.308,3536,7348,0.481,1904,2384,0.799,1323,2561,3884,2009,831,643,1488,1946,9558,1989,GSW
82.0,19705,3489,7208,0.484,243,750,0.324,3246,6458,0.503,2313,2858,0.809,915,2385,3300,1978,756,488,1415,2010,9534,1990,GSW
82.0,19805,3566,7346,0.485,270,801,0.337,3296,6545,0.504,2162,2761,0.783,1113,2306,3419,1954,803,378,1359,2207,9564,1991,GSW
82.0,19880,3767,7427,0.507,254,763,0.333,3513,6664,0.527,1944,2606,0.746,1137,2376,3513,2064,854,375,1353,2049,9732,1992,GSW
82.0,19905,3474,7212,0.482,298,852,0.35,3176,6360,0.499,1768,2465,0.717,1219,2384,3603,2010,693,383,1451,2056,9014,1993,GSW
82.0,19780,3512,7145,0.492,291,859,0.339,3221,6286,0.512,1529,2304,0.664,1183,2396,3579,2198,804,511,1433,1789,8844,1994,GSW
82.0,19905,3217,6873,0.468,546,1602,0.341,2671,5271,0.507,1687,2395,0.704,1101,2371,3472,2017,649,391,1497,1804,8667,1995,GSW
82.0,19755,3056,6700,0.456,447,1199,0.373,2609,5501,0.474,1775,2340,0.759,1173,2285,3458,1889,706,470,1343,1835,8334,1996,GSW
82.0,19905,2997,6567,0.456,481,1363,0.353,2516,5204,0.483,1696,2180,0.778,1086,2259,3345,1822,611,359,1410,1787,8171,1997,GSW
