G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19930,3599,7496,0.48,104.0,379.0,0.274,3495,7117,0.491,1782,2326,0.766,1394,2217,3611,2149,782,373,1565,1927,9084,1980,HOU
82.0,19805,3573,7335,0.487,21,118,0.178,3552,7217,0.492,1711,2223,0.77,1216,2347,3563,2099,705,390,1451,1901,8878,1981,HOU
82.0,19780,3504,7366,0.476,50,176,0.284,3454,7190,0.48,1622,2225,0.729,1403,2284,3687,1977,648,429,1321,1871,8680,1982,HOU
82.0,19730,3338,7446,0.448,67,271,0.247,3271,7175,0.456,1402,1934,0.725,1206,2260,3466,1931,646,422,1571,2131,8145,1983,HOU
82.0,19755,3729,7533,0.495,30,154,0.195,3699,7379,0.501,1583,2139,0.74,1200,2483,3683,2204,621,515,1562,2317,9071,1984,HOU
82.0,19830,3748,7440,0.504,41,186,0.22,3707,7254,0.511,1581,2261,0.699,1325,2395,3720,2239,683,597,1605,2033,9118,1985,HOU
82.0,19755,3759,7671,0.49,85,310,0.274,3674,7361,0.499,1776,2434,0.73,1316,2434,3750,2318,745,551,1374,1991,9379,1986,HOU
82.0,19780,3465,7262,0.477,89,324,0.275,3376,6938,0.487,1746,2355,0.741,1190,2481,3671,2227,654,555,1384,1973,8765,1987,HOU
82.0,19680,3465,7354,0.471,69,291,0.237,3396,7063,0.481,1936,2483,0.78,1239,2530,3769,1936,712,502,1367,1865,8935,1988,HOU
82.0,19855,3412,7196,0.474,164,523,0.314,3248,6673,0.487,1909,2527,0.755,1211,2554,3765,2016,789,501,1569,2026,8897,1989,HOU
82.0,19805,3483,7250,0.48,153,491,0.312,3330,6759,0.493,1633,2267,0.72,1217,2638,3855,2194,809,551,1513,1934,8752,1990,HOU
82.0,19855,3403,7287,0.467,316,989,0.32,3087,6298,0.49,1631,2200,0.741,1275,2508,3783,1906,796,409,1402,1874,8753,1991,HOU
82.0,19880,3273,6894,0.475,329,959,0.343,2944,5935,0.496,1491,2020,0.738,1074,2432,3506,2058,656,571,1378,1769,8366,1992,HOU
82.0,19780,3280,6744,0.486,387,1073,0.361,2893,5671,0.51,1584,2090,0.758,985,2532,3517,2115,682,543,1295,1699,8531,1993,HOU
82.0,19780,3197,6733,0.475,429,1285,0.334,2768,5448,0.508,1469,1978,0.743,926,2619,3545,2087,717,485,1338,1646,8292,1994,HOU
82.0,19730,3159,6579,0.48,646,1757,0.368,2513,4822,0.521,1527,2039,0.749,880,2440,3320,2060,721,514,1322,1714,8491,1995,HOU
82.0,19805,3078,6638,0.464,637,1761,0.362,2441,4877,0.501,1611,2106,0.765,919,2455,3374,1982,645,476,1245,1753,8404,1996,HOU
82.0,19855,3037,6484,0.468,671,1839,0.365,2366,4645,0.509,1503,1992,0.755,927,2565,3492,2013,685,347,1365,1610,8248,1997,HOU
82.0,19830,2946,6513,0.452,573,1670,0.343,2373,4843,0.49,1634,2120,0.771,987,2350,3337,1799,686,294,1298,1653,8099,1998,HOU
50.0,12075,1755,3798,0.462,336,914,0.368,1419,2884,0.492,865,1187,0.729,536,1540,2076,1058,386,260,812,960,4711,1999,HOU
