G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19855,3639,7689,0.473,88.0,314.0,0.28,3551,7375,0.481,1753,2333,0.751,1398,2326,3724,2148,900,530,1517,1973,9119,1980,IND
82.0,19730,3491,7245,0.482,30,169,0.178,3461,7076,0.489,1815,2540,0.715,1325,2267,3592,2091,833,484,1491,2006,8827,1981,IND
82.0,19830,3332,7164,0.465,103,316,0.326,3229,6848,0.472,1612,2176,0.741,1141,2372,3513,1897,753,494,1393,2041,8379,1982,IND
82.0,19830,3707,7723,0.48,50,236,0.212,3657,7487,0.488,1447,1910,0.758,1299,2294,3593,2150,755,411,1535,2086,8911,1983,IND
82.0,19780,3447,7130,0.483,48,207,0.232,3399,6923,0.491,1624,2119,0.766,1002,2398,3400,2169,834,398,1525,2061,8566,1984,IND
82.0,19780,3489,7324,0.476,30,155,0.194,3459,7169,0.482,1871,2516,0.744,1198,2623,3821,1945,625,366,1622,2237,8879,1985,IND
82.0,19755,3441,7150,0.481,23,143,0.161,3418,7007,0.488,1614,2183,0.739,1138,2613,3751,2159,659,381,1515,2135,8519,1986,IND
82.0,19930,3454,7324,0.472,94,316,0.297,3360,7008,0.479,1696,2170,0.782,1132,2464,3596,2170,697,311,1276,2097,8698,1987,IND
82.0,19705,3436,7154,0.48,163,485,0.336,3273,6669,0.491,1546,1982,0.78,1078,2457,3535,1977,619,345,1318,2038,8581,1988,IND
82.0,19855,3385,6945,0.487,202,615,0.328,3183,6330,0.503,1795,2275,0.789,1065,2497,3562,2012,563,418,1547,2105,8767,1989,IND
82.0,19880,3381,6807,0.497,294,770,0.382,3087,6037,0.511,1906,2335,0.816,940,2388,3328,2023,552,350,1342,1972,8962,1990,IND
82.0,19805,3450,6994,0.493,249,749,0.332,3201,6245,0.513,2010,2479,0.811,1018,2376,3394,2181,658,357,1355,2088,9159,1991,IND
82.0,19955,3498,7079,0.494,333,940,0.354,3165,6139,0.516,1868,2364,0.79,1083,2564,3647,2398,705,393,1402,2137,9197,1992,IND
82.0,19755,3371,7022,0.48,257,789,0.326,3114,6233,0.5,1837,2399,0.766,1220,2455,3675,2144,615,403,1256,2045,8836,1993,IND
82.0,19755,3167,6516,0.486,184,500,0.368,2983,6016,0.496,1762,2387,0.738,1130,2409,3539,2055,706,457,1440,1974,8280,1994,IND
82.0,19780,2983,6248,0.477,374,985,0.38,2609,5263,0.496,1796,2390,0.751,1051,2290,3341,1877,703,363,1340,1939,8136,1995,IND
82.0,19755,2979,6205,0.48,363,973,0.373,2616,5232,0.5,1823,2416,0.755,1010,2262,3272,1917,579,323,1335,2031,8144,1996,IND
82.0,19930,2851,6254,0.456,430,1130,0.381,2421,5124,0.472,1687,2336,0.722,1029,2390,3419,1750,585,394,1338,1977,7819,1997,IND
82.0,19830,2921,6223,0.469,401,1029,0.39,2520,5194,0.485,1631,2136,0.764,874,2348,3222,1889,645,368,1168,1859,7874,1998,IND
50.0,12100,1731,3866,0.448,294,799,0.368,1437,3067,0.469,977,1228,0.796,574,1452,2026,1005,316,223,649,1082,4733,1999,IND
82.0,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306,2000,IND
82.0,19980,2828,6431,0.44,396,1159,0.342,2432,5272,0.461,1539,2009,0.766,921,2595,3516,1763,563,487,1244,1926,7591,2001,IND
82.0,19905,2935,6580,0.446,405,1195,0.339,2530,5385,0.47,1663,2155,0.772,930,2568,3498,1884,658,436,1249,1876,7938,2002,IND
82.0,19905,2911,6608,0.441,379,1119,0.339,2532,5489,0.461,1739,2271,0.766,1004,2622,3626,1910,696,443,1210,1811,7940,2003,IND
82.0,19805,2753,6322,0.435,449,1281,0.351,2304,5041,0.457,1538,2014,0.764,965,2452,3417,1774,726,411,1182,1709,7493,2004,IND
82.0,19905,2668,6169,0.432,542,1575,0.344,2126,4594,0.463,1748,2206,0.792,868,2418,3286,1489,615,357,1173,1890,7626,2005,IND
82.0,19730,2786,6274,0.444,536,1536,0.349,2250,4738,0.475,1591,2158,0.737,898,2559,3457,1631,598,409,1254,1821,7699,2006,IND
82.0,19780,2872,6561,0.438,481,1389,0.346,2391,5172,0.462,1615,2125,0.76,990,2441,3431,1680,599,447,1335,1912,7840,2007,IND
82.0,19755,3102,6993,0.444,755,2021,0.374,2347,4972,0.472,1568,2042,0.768,904,2633,3537,1864,623,412,1236,1921,8527,2008,IND
82.0,19830,3220,7080,0.455,652,1725,0.378,2568,5355,0.48,1525,1890,0.807,924,2661,3585,1775,573,434,1189,1895,8617,2009,IND
82.0,19705,3020,6823,0.443,659,1896,0.348,2361,4927,0.479,1564,2019,0.775,785,2618,3403,1730,585,439,1232,1848,8263,2010,IND
82.0,19780,3003,6787,0.442,585,1653,0.354,2418,5134,0.471,1592,2035,0.782,914,2657,3571,1611,584,456,1262,1782,8183,2011,IND
66.0,15990,2354,5375,0.438,392,1064,0.368,1962,4311,0.455,1349,1724,0.782,826,2070,2896,1228,523,357,925,1430,6449,2012,IND
81.0,19590,2845,6525,0.436,555,1599,0.347,2290,4926,0.465,1429,1915,0.746,1043,2671,3714,1645,580,513,1227,1623,7674,2013,IND
82.0,19780,2949,6573,0.449,550,1542,0.357,2399,5031,0.477,1485,1907,0.779,834,2831,3665,1651,550,446,1237,1675,7933,2014,IND
82.0,19855,2998,6824,0.439,612,1740,0.352,2386,5084,0.469,1373,1817,0.756,856,2822,3678,1757,505,375,1147,1742,7981,2015,IND
82.0,19880,3142,6985,0.45,663,1889,0.351,2479,5096,0.486,1430,1872,0.764,847,2779,3626,1741,742,391,1219,1641,8377,2016,IND
82.0,19855,3221,6931,0.465,709,1885,0.376,2512,5046,0.498,1467,1811,0.81,742,2702,3444,1844,669,409,1130,1597,8618,2017,IND
82.0,19755,3345,7083,0.472,741,2010,0.369,2604,5073,0.513,1225,1573,0.779,788,2684,3472,1819,721,340,1088,1544,8656,2018,IND
82.0,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,2019,IND
73.0,17620,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,1096,1393,0.787,636,2489,3125,1888,543,376,967,1445,7989,2020,IND
72.0,17455,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,1183,1493,0.792,648,2424,3072,1973,611,460,975,1453,8302,2021,IND
82.0,19880,3398,7338,0.463,997,2899,0.344,2401,4439,0.541,1347,1754,0.768,925,2671,3596,2081,582,457,1183,1675,9140,2022,IND
82.0,19755,3444,7345,0.469,1112,3030,0.367,2332,4315,0.54,1535,1944,0.79,832,2575,3407,2213,631,478,1225,1741,9535,2023,IND
82.0,19705,3855,7599,0.507,1082,2891,0.374,2773,4708,0.589,1318,1685,0.782,827,2578,3405,2522,631,481,1059,1756,10110,2024,IND
