G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19730,3527,7119,0.495,56,188,0.298,3471,6931,0.501,1674,2208,0.758,1163,2434,3597,1934,534,497,1587,1840,8784,1985,LAC
82.0,19755,3388,7165,0.473,64,229,0.279,3324,6936,0.479,2067,2683,0.77,1159,2258,3417,1968,694,501,1506,1931,8907,1986,LAC
82.0,19780,3311,7332,0.452,78,348,0.224,3233,6984,0.463,1866,2515,0.742,1231,2137,3368,1971,751,432,1493,2004,8566,1987,LAC
82.0,19805,3190,7194,0.443,79,317,0.249,3111,6877,0.452,1644,2305,0.713,1191,2350,3541,1885,721,520,1534,1908,8103,1988,LAC
82.0,19855,3526,7428,0.475,54,234,0.231,3472,7194,0.483,1606,2220,0.723,1156,2384,3540,2208,815,530,1666,1937,8712,1989,LAC
82.0,19805,3319,6853,0.484,56,230,0.243,3263,6623,0.493,1815,2458,0.738,1056,2362,3418,1978,782,507,1547,1859,8509,1990,LAC
82.0,19805,3391,7315,0.464,113,434,0.26,3278,6881,0.476,1596,2273,0.702,1246,2500,3746,2119,725,507,1438,2043,8491,1991,LAC
82.0,19830,3347,7076,0.473,145,502,0.289,3202,6574,0.487,1601,2223,0.72,1132,2393,3525,2053,824,498,1269,1873,8440,1992,LAC
82.0,19805,3544,7329,0.484,133,491,0.271,3411,6838,0.499,1562,2177,0.718,1183,2360,3543,2242,847,491,1338,1920,8783,1993,LAC
82.0,19780,3343,7163,0.467,252,831,0.303,3091,6332,0.488,1509,2128,0.709,1120,2410,3530,2169,807,421,1474,1769,8447,1994,LAC
82.0,19880,3060,6888,0.444,331,1051,0.315,2729,5837,0.468,1476,2079,0.71,1064,2076,3140,1805,787,435,1334,2152,7927,1995,LAC
82.0,19730,3126,6618,0.472,509,1374,0.37,2617,5244,0.499,1392,1984,0.702,979,2190,3169,1672,703,411,1355,2008,8153,1996,LAC
82.0,19930,2989,6696,0.446,474,1339,0.354,2515,5357,0.469,1517,2074,0.731,1092,2242,3334,1662,733,441,1311,1964,7969,1997,LAC
82.0,19780,2930,6690,0.438,525,1468,0.358,2405,5222,0.461,1480,2047,0.723,1040,2276,3316,1533,625,456,1323,1827,7865,1998,LAC
50.0,12125,1711,4007,0.427,214,668,0.32,1497,3339,0.448,883,1225,0.721,665,1293,1958,820,424,236,796,1223,4519,1999,LAC
82.0,19705,2877,6757,0.426,429,1267,0.339,2448,5490,0.446,1363,1826,0.746,955,2377,3332,1479,578,494,1325,1821,7546,2000,LAC
82.0,20030,2896,6467,0.448,360,1063,0.339,2536,5404,0.469,1429,2061,0.693,962,2559,3521,1585,490,513,1293,1775,7581,2001,LAC
82.0,19805,2970,6668,0.445,408,1147,0.356,2562,5521,0.464,1498,2026,0.739,1083,2474,3557,1714,510,540,1214,1624,7846,2002,LAC
82.0,19755,2835,6490,0.437,390,1178,0.331,2445,5312,0.46,1633,2177,0.75,1008,2462,3470,1605,574,461,1291,1784,7693,2003,LAC
82.0,19805,2817,6579,0.428,329,1024,0.321,2488,5555,0.448,1808,2302,0.785,1149,2416,3565,1653,594,376,1344,1816,7771,2004,LAC
82.0,20030,2924,6368,0.459,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849,2005,LAC
82.0,19805,2993,6443,0.465,290,843,0.344,2703,5600,0.483,1694,2142,0.791,828,2704,3532,1708,534,503,1185,1872,7970,2006,LAC
82.0,19730,2880,6318,0.456,314,903,0.348,2566,5415,0.474,1769,2245,0.788,888,2484,3372,1762,596,472,1239,1858,7843,2007,LAC
82.0,19805,2820,6445,0.438,350,1079,0.324,2470,5366,0.46,1702,2178,0.781,800,2491,3291,1732,557,398,1180,1745,7692,2008,LAC
82.0,19880,2955,6696,0.441,535,1513,0.354,2420,5183,0.467,1354,1839,0.736,890,2377,3267,1723,572,482,1221,1650,7799,2009,LAC
82.0,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849,2010,LAC
82.0,19855,3015,6594,0.457,513,1519,0.338,2502,5075,0.493,1546,2187,0.707,955,2501,3456,1813,585,402,1343,1733,8089,2011,LAC
66.0,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438,2012,LAC
82.0,19730,3160,6608,0.478,627,1752,0.358,2533,4856,0.522,1342,1888,0.711,938,2475,3413,1958,784,461,1197,1716,8289,2013,LAC
82.0,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850,2014,LAC
82.0,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751,2015,LAC
82.0,19830,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569,2016,LAC
82.0,19755,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1062,1626,8911,2017,LAC
82.0,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,2018,LAC
82.0,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,2019,LAC
72.0,17380,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,1498,1894,0.791,767,2664,3431,1708,511,338,1051,1594,8377,2020,LAC
72.0,17280,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,1164,1387,0.839,678,2501,3179,1756,509,295,950,1383,8209,2021,LAC
82.0,19780,3285,7170,0.458,1047,2802,0.374,2238,4368,0.512,1273,1606,0.793,747,2860,3607,1969,608,406,1126,1528,8890,2022,LAC
82.0,19830,3370,7059,0.477,1041,2735,0.381,2329,4324,0.539,1533,1962,0.781,803,2742,3545,1959,580,364,1167,1598,9314,2023,LAC
82.0,19705,3473,7108,0.489,1036,2719,0.381,2437,4389,0.555,1499,1817,0.825,822,2701,3523,2097,640,413,1078,1519,9481,2024,LAC
