G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19880,3898,7368,0.529,20.0,100.0,0.2,3878,7268,0.534,1622,2092,0.775,1085,2653,3738,2413,774,546,1639,1784,9438,1980,LAL
82.0,19805,3780,7382,0.512,17,94,0.181,3763,7288,0.516,1540,2113,0.729,1165,2491,3656,2363,808,551,1557,1955,9117,1981,LAL
82.0,19855,3919,7585,0.517,13,94,0.138,3906,7491,0.521,1549,2161,0.717,1258,2505,3763,2356,848,517,1468,1999,9400,1982,LAL
82.0,19730,3964,7512,0.528,10,96,0.104,3954,7416,0.533,1495,2031,0.736,1235,2433,3668,2519,844,479,1584,1931,9433,1983,LAL
82.0,19780,3854,7250,0.532,58,226,0.257,3796,7024,0.54,1712,2272,0.754,1095,2499,3594,2455,726,478,1578,2054,9478,1984,LAL
82.0,19755,3952,7254,0.545,90,295,0.305,3862,6959,0.555,1702,2232,0.763,1063,2550,3613,2575,695,481,1537,1931,9696,1985,LAL
82.0,19830,3834,7343,0.522,138,409,0.337,3696,6934,0.533,1812,2329,0.778,1101,2555,3656,2433,693,419,1467,2031,9618,1986,LAL
82.0,19730,3740,7245,0.516,164,447,0.367,3576,6798,0.526,2012,2550,0.789,1127,2515,3642,2428,728,482,1358,1853,9656,1987,LAL
82.0,19805,3576,7078,0.505,142,478,0.297,3434,6600,0.52,1956,2480,0.789,1073,2491,3564,2347,672,404,1318,1715,9250,1988,LAL
82.0,19805,3584,7143,0.502,227,667,0.34,3357,6476,0.518,2011,2508,0.802,1094,2612,3706,2282,724,421,1344,1672,9406,1989,LAL
82.0,19855,3434,7010,0.49,309,841,0.367,3125,6169,0.507,1902,2417,0.787,1097,2460,3557,2232,655,445,1226,1737,9079,1990,LAL
82.0,19830,3343,6911,0.484,226,744,0.304,3117,6167,0.505,1805,2261,0.798,1078,2440,3518,2091,642,384,1203,1524,8717,1991,LAL
82.0,19830,3183,6977,0.456,119,445,0.267,3064,6532,0.469,1744,2278,0.766,1156,2196,3352,1803,756,400,1089,1543,8229,1992,LAL
82.0,19830,3309,6994,0.473,187,626,0.299,3122,6368,0.49,1741,2304,0.756,1103,2288,3391,2013,782,431,1266,1778,8546,1993,LAL
82.0,19755,3291,7316,0.45,241,803,0.3,3050,6513,0.468,1410,1967,0.717,1260,2204,3464,1983,751,461,1197,1877,8233,1994,LAL
