G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19805,3456,7504,0.461,85.0,298.0,0.285,3371,7206,0.468,1882,2406,0.782,1229,2535,3764,2094,869,581,1702,2181,8879,1980,NJN
82.0,19805,3477,7314,0.475,34,138,0.246,3443,7176,0.48,1780,2371,0.751,1092,2374,3466,2068,750,458,1664,2204,8768,1981,NJN
82.0,19780,3501,7227,0.484,30,146,0.205,3471,7081,0.49,1714,2354,0.728,1194,2320,3514,2096,918,481,1650,2295,8746,1982,NJN
82.0,19705,3510,7140,0.492,30,149,0.201,3480,6991,0.498,1622,2301,0.705,1266,2427,3693,2143,911,592,1873,2166,8672,1983,NJN
82.0,19805,3614,7258,0.498,49,232,0.211,3565,7026,0.507,1742,2488,0.7,1221,2313,3534,2148,814,499,1608,2243,9019,1984,NJN
82.0,19755,3646,7445,0.49,52,224,0.232,3594,7221,0.498,1631,2237,0.729,1233,2325,3558,2163,772,415,1355,2011,8975,1985,NJN
82.0,19805,3548,7301,0.486,43,214,0.201,3505,7087,0.495,1810,2396,0.755,1183,2483,3666,2128,749,345,1575,2129,8949,1986,NJN
82.0,19855,3374,7083,0.476,145,449,0.323,3229,6634,0.487,2000,2607,0.767,1169,2409,3578,1991,643,397,1617,2353,8893,1987,NJN
82.0,19780,3208,6857,0.468,137,455,0.301,3071,6402,0.48,1682,2308,0.729,1075,2262,3337,1795,727,385,1503,2042,8235,1988,NJN
82.0,19805,3333,7226,0.461,187,568,0.329,3146,6658,0.473,1653,2260,0.731,1204,2419,3623,1793,773,431,1449,1966,8506,1989,NJN
82.0,19705,3157,7415,0.426,140,506,0.277,3017,6909,0.437,1754,2350,0.746,1363,2324,3687,1475,774,481,1360,1952,8208,1990,NJN
82.0,19830,3311,7459,0.444,161,586,0.275,3150,6873,0.458,1658,2245,0.739,1400,2348,3748,1782,748,600,1423,1954,8441,1991,NJN
82.0,19780,3473,7580,0.458,224,670,0.334,3249,6910,0.47,1471,2009,0.732,1512,2392,3904,1937,736,615,1392,1834,8641,1992,NJN
82.0,19780,3272,7084,0.462,155,488,0.318,3117,6596,0.473,1732,2258,0.767,1291,2506,3797,1872,693,526,1355,1892,8431,1993,NJN
82.0,19830,3169,7115,0.445,223,683,0.327,2946,6432,0.458,1900,2495,0.762,1300,2556,3856,1900,696,576,1196,1693,8461,1994,NJN
82.0,19880,2939,6738,0.436,414,1297,0.319,2525,5441,0.464,1750,2305,0.759,1213,2569,3782,1884,544,548,1300,1844,8042,1995,NJN
82.0,19905,2881,6750,0.427,250,746,0.335,2631,6004,0.438,1672,2244,0.745,1350,2503,3853,1752,627,571,1375,1880,7684,1996,NJN
82.0,19780,2994,7091,0.422,484,1371,0.353,2510,5720,0.439,1502,2031,0.74,1410,2376,3786,1726,677,481,1290,1865,7974,1997,NJN
82.0,19880,3055,6928,0.441,310,937,0.331,2745,5991,0.458,1750,2351,0.744,1344,2137,3481,1685,777,314,1180,1917,8170,1998,NJN
50.0,12050,1691,4160,0.406,225,679,0.331,1466,3481,0.421,962,1251,0.769,715,1437,2152,923,491,273,750,1134,4569,1999,NJN
82.0,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,720,393,1119,1913,8036,2000,NJN
82.0,19730,2781,6550,0.425,361,1084,0.333,2420,5466,0.443,1629,2146,0.759,909,2337,3246,1603,649,407,1208,1982,7552,2001,NJN
82.0,19830,3042,6816,0.446,403,1194,0.338,2639,5622,0.469,1402,1907,0.735,1039,2515,3554,1990,716,490,1189,1734,7889,2002,NJN
82.0,19755,2906,6585,0.441,346,1041,0.332,2560,5544,0.462,1662,2195,0.757,991,2528,3519,1887,717,374,1212,1772,7820,2003,NJN
82.0,19705,2813,6372,0.441,377,1123,0.336,2436,5249,0.464,1398,1856,0.753,862,2473,3335,2009,709,322,1209,1722,7401,2004,NJN
82.0,19905,2753,6419,0.429,435,1203,0.362,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,650,308,1164,1985,7496,2005,NJN
82.0,19780,2778,6317,0.44,477,1447,0.33,2301,4870,0.472,1658,2187,0.758,822,2539,3361,1884,558,278,1119,1903,7691,2006,NJN
82.0,19880,2913,6379,0.457,609,1676,0.363,2304,4703,0.49,1566,2153,0.727,822,2525,3347,1962,499,273,1212,1869,8001,2007,NJN
82.0,19830,2856,6450,0.443,498,1430,0.348,2358,5020,0.47,1647,2237,0.736,913,2520,3433,1925,521,390,1229,1855,7857,2008,NJN
82.0,19830,2925,6536,0.448,652,1735,0.376,2273,4801,0.473,1542,1980,0.779,850,2415,3265,1636,559,391,1075,1838,8044,2009,NJN
82.0,19780,2813,6554,0.429,377,1185,0.318,2436,5369,0.454,1572,2015,0.78,897,2358,3255,1540,573,393,1182,1643,7575,2010,NJN
82.0,20005,2918,6638,0.44,459,1337,0.343,2459,5301,0.464,1427,1881,0.759,909,2440,3349,1723,458,384,1152,1807,7722,2011,NJN
66.0,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144,2012,NJN
