G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19755,3570,7235,0.493,68.0,280.0,0.243,3502,6955,0.504,1906,2466,0.773,1071,2458,3529,2283,908,344,1629,1853,9114,1980,PHO
82.0,19755,3587,7326,0.49,35,161,0.217,3552,7165,0.496,1810,2430,0.745,1234,2490,3724,2205,876,416,1733,1996,9019,1981,PHO
82.0,19830,3508,7140,0.491,54,174,0.31,3454,6966,0.496,1635,2157,0.758,1123,2517,3640,2223,753,429,1528,2029,8705,1982,PHO
82.0,19730,3555,7158,0.497,40,158,0.253,3515,7000,0.502,1626,2189,0.743,1094,2518,3612,2300,749,495,1545,2062,8776,1983,PHO
82.0,19780,3677,7220,0.509,74,291,0.254,3603,6929,0.52,1673,2204,0.759,1066,2298,3364,2214,693,388,1451,2147,9101,1984,PHO
82.0,19805,3507,7144,0.491,87,307,0.283,3420,6837,0.5,1757,2280,0.771,1026,2425,3451,2335,727,349,1583,2034,8858,1985,PHO
82.0,19805,3518,6993,0.503,38,183,0.208,3480,6810,0.511,1949,2683,0.726,1034,2449,3483,2272,773,379,1763,2260,9023,1986,PHO
82.0,19855,3575,7190,0.497,61,252,0.242,3514,6938,0.506,1900,2499,0.76,1113,2366,3479,2354,703,397,1498,2047,9111,1987,PHO
82.0,19730,3551,7302,0.486,118,357,0.331,3433,6945,0.494,1681,2200,0.764,1113,2379,3492,2332,675,353,1413,2045,8901,1988,PHO
82.0,19755,3754,7545,0.498,168,481,0.349,3586,7064,0.508,2051,2594,0.791,1095,2619,3714,2280,693,416,1279,1933,9727,1989,PHO
82.0,19855,3544,7139,0.496,176,543,0.324,3368,6596,0.511,2159,2716,0.795,1053,2651,3704,2109,668,501,1275,1825,9423,1990,PHO
82.0,19730,3573,7199,0.496,138,432,0.319,3435,6767,0.508,2064,2680,0.77,1132,2598,3730,2209,687,535,1302,1850,9348,1991,PHO
82.0,19805,3553,7219,0.492,227,596,0.381,3326,6623,0.502,1861,2397,0.776,1088,2558,3646,2202,673,582,1242,1852,9194,1992,PHO
82.0,19730,3494,7093,0.493,398,1095,0.363,3096,5998,0.516,1912,2539,0.753,1141,2510,3651,2087,752,455,1359,1739,9298,1993,PHO
82.0,19705,3429,7080,0.484,344,1042,0.33,3085,6038,0.511,1674,2301,0.728,1220,2453,3673,2261,745,460,1305,1639,8876,1994,PHO
82.0,19830,3356,6967,0.482,584,1584,0.369,2772,5383,0.515,1777,2352,0.756,1027,2403,3430,2198,687,312,1167,1839,9073,1995,PHO
82.0,19955,3159,6673,0.473,327,984,0.332,2832,5689,0.498,1907,2472,0.771,1009,2501,3510,2001,623,331,1207,1776,8552,1996,PHO
82.0,19855,3143,6705,0.469,527,1428,0.369,2616,5277,0.496,1618,2125,0.761,916,2376,3292,2067,664,322,1180,1727,8431,1997,PHO
82.0,19955,3138,6710,0.468,431,1211,0.356,2707,5499,0.492,1459,1948,0.749,991,2452,3443,2124,756,429,1236,1765,8166,1998,PHO
50.0,12050,1797,4004,0.449,261,702,0.372,1536,3302,0.465,924,1215,0.76,598,1418,2016,1249,444,200,681,1022,4779,1999,PHO
82.0,19805,3093,6771,0.457,458,1246,0.368,2635,5525,0.477,1467,1934,0.759,1022,2558,3580,2098,744,433,1368,1973,8111,2000,PHO
82.0,19805,2944,6757,0.436,332,1054,0.315,2612,5703,0.458,1490,1973,0.755,970,2529,3499,1905,775,429,1250,1864,7710,2001,PHO
82.0,19830,3097,6934,0.447,358,1096,0.327,2739,5838,0.469,1250,1630,0.767,1072,2430,3502,1838,668,401,1205,1785,7802,2002,PHO
82.0,19805,3005,6776,0.443,394,1149,0.343,2611,5627,0.464,1430,1928,0.742,1049,2440,3489,1719,665,404,1208,1801,7834,2003,PHO
82.0,19730,2958,6671,0.443,415,1202,0.345,2543,5469,0.465,1392,1865,0.746,924,2406,3330,1586,734,383,1249,1862,7723,2004,PHO
82.0,19780,3351,7018,0.477,796,2026,0.393,2555,4992,0.512,1556,2080,0.748,967,2652,3619,1927,572,453,1125,1563,9054,2005,PHO
82.0,19955,3430,7167,0.479,837,2097,0.399,2593,5070,0.511,1189,1475,0.806,778,2650,3428,2179,549,412,1088,1683,8886,2006,PHO
82.0,19905,3388,6855,0.494,785,1965,0.399,2603,4890,0.532,1476,1827,0.808,737,2583,3320,2122,553,394,1189,1659,9037,2007,PHO
82.0,19780,3392,6782,0.5,694,1764,0.393,2698,5018,0.538,1548,1977,0.783,720,2683,3403,2188,532,518,1184,1633,9026,2008,PHO
82.0,19755,3373,6695,0.504,553,1445,0.383,2820,5250,0.537,1675,2251,0.744,900,2520,3420,1905,589,420,1288,1691,8974,2009,PHO
82.0,19730,3339,6788,0.492,730,1770,0.412,2609,5018,0.52,1631,2117,0.77,910,2616,3526,1912,479,418,1210,1713,9039,2010,PHO
