G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19780,3408,7167,0.476,26.0,132.0,0.197,3382,7035,0.481,1560,2100,0.743,1295,2408,3703,1898,708,472,1552,1956,8402,1980,POR
82.0,19855,3741,7535,0.496,25,148,0.169,3716,7387,0.503,1573,2191,0.718,1243,2388,3631,2244,769,480,1518,2034,9080,1981,POR
82.0,19780,3629,7187,0.505,29,140,0.207,3600,7047,0.511,1719,2387,0.72,1142,2355,3497,2054,706,367,1390,2012,9006,1982,POR
82.0,19755,3459,7124,0.486,35,150,0.233,3424,6974,0.491,1855,2512,0.738,1180,2380,3560,2030,749,384,1495,1960,8808,1983,POR
82.0,19805,3632,7189,0.505,25,129,0.194,3607,7060,0.511,1988,2637,0.754,1251,2194,3445,2082,814,397,1483,2134,9277,1984,POR
82.0,19880,3708,7374,0.503,51,202,0.252,3657,7172,0.51,2002,2667,0.751,1202,2298,3500,2225,821,516,1481,1957,9469,1985,POR
82.0,19855,3610,7281,0.496,74,275,0.269,3536,7006,0.505,2142,2799,0.765,1153,2316,3469,2180,859,356,1529,2205,9436,1986,POR
82.0,19805,3650,7249,0.504,98,339,0.289,3552,6910,0.514,2269,2928,0.775,1180,2413,3593,2359,767,387,1546,2082,9667,1987,POR
82.0,19730,3661,7460,0.491,117,380,0.308,3544,7080,0.501,2079,2701,0.77,1251,2491,3742,2307,726,347,1351,2091,9518,1988,POR
82.0,19830,3695,7795,0.474,216,645,0.335,3479,7150,0.487,1789,2416,0.74,1384,2381,3765,2212,828,388,1435,2026,9395,1989,POR
82.0,19880,3572,7547,0.473,190,565,0.336,3382,6982,0.484,2031,2734,0.743,1355,2552,3907,2085,749,364,1356,2048,9365,1990,POR
82.0,19905,3577,7369,0.485,341,904,0.377,3236,6465,0.501,1912,2538,0.753,1202,2561,3763,2254,724,410,1309,1975,9407,1991,POR
82.0,19880,3476,7352,0.473,325,944,0.344,3151,6408,0.492,1858,2463,0.754,1294,2549,3843,2065,753,410,1328,1983,9135,1992,POR
82.0,19905,3361,7343,0.458,275,843,0.326,3086,6500,0.475,1901,2551,0.745,1226,2507,3733,1969,770,425,1215,1892,8898,1993,POR
82.0,19755,3371,7427,0.454,272,770,0.353,3099,6657,0.466,1781,2396,0.743,1302,2460,3762,2070,744,409,1210,1827,8795,1994,POR
82.0,19705,3217,7134,0.451,462,1266,0.365,2755,5868,0.469,1555,2230,0.697,1352,2443,3795,1846,668,467,1212,2024,8451,1995,POR
82.0,19905,3064,6688,0.458,480,1358,0.353,2584,5330,0.485,1537,2321,0.662,1160,2577,3737,1760,594,417,1377,1859,8145,1996,POR
82.0,19855,3000,6465,0.464,501,1401,0.358,2499,5064,0.493,1613,2261,0.713,1058,2494,3552,1710,640,435,1357,1928,8114,1997,POR
82.0,19830,2885,6397,0.451,324,1047,0.309,2561,5350,0.479,1640,2226,0.737,1086,2522,3608,1766,585,464,1383,1859,7734,1998,POR
50.0,12175,1747,3956,0.442,246,675,0.364,1501,3281,0.457,1002,1349,0.743,646,1570,2216,1073,411,290,771,1126,4742,1999,POR
82.0,19780,3021,6430,0.47,407,1128,0.361,2614,5302,0.493,1542,2029,0.76,966,2560,3526,1925,633,396,1243,1865,7991,2000,POR
82.0,19780,3004,6417,0.468,369,1057,0.349,2635,5360,0.492,1447,1899,0.762,960,2481,3441,1963,672,419,1257,1745,7824,2001,POR
82.0,19830,3004,6671,0.45,466,1318,0.354,2538,5353,0.474,1451,1901,0.763,1085,2444,3529,1926,702,368,1172,1613,7925,2002,POR
82.0,19855,2987,6491,0.46,379,1150,0.33,2608,5341,0.488,1450,1947,0.745,992,2378,3370,1860,725,316,1248,1634,7803,2003,POR
82.0,19980,2898,6467,0.448,381,1102,0.346,2517,5365,0.469,1263,1728,0.731,1040,2376,3416,1768,613,443,1213,1554,7440,2004,POR
82.0,19730,2896,6422,0.451,420,1161,0.362,2476,5261,0.471,1409,1944,0.725,970,2404,3374,1722,583,544,1308,1703,7621,2005,POR
82.0,19730,2791,6267,0.445,364,1042,0.349,2427,5225,0.464,1339,1944,0.689,886,2203,3089,1490,529,435,1205,1828,7285,2006,POR
82.0,19955,2874,6392,0.45,426,1232,0.346,2448,5160,0.474,1543,2006,0.769,923,2299,3222,1513,555,380,1236,1931,7717,2007,POR
82.0,19905,2935,6546,0.448,538,1426,0.377,2397,5120,0.468,1412,1841,0.767,901,2438,3339,1733,455,360,1056,1642,7820,2008,POR
82.0,19830,3018,6494,0.465,596,1555,0.383,2422,4939,0.49,1521,1988,0.765,1060,2360,3420,1667,550,402,1055,1671,8153,2009,POR
82.0,19855,2974,6453,0.461,491,1388,0.354,2483,5065,0.49,1606,2033,0.79,913,2383,3296,1674,523,350,1012,1715,8045,2010,POR
82.0,19805,2951,6599,0.447,518,1503,0.345,2433,5096,0.477,1476,1835,0.804,996,2230,3226,1736,660,358,1070,1585,7896,2011,POR
66.0,15965,2402,5417,0.443,478,1382,0.346,1924,4035,0.477,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415,2012,POR
82.0,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.776,874,2474,3348,1784,538,353,1203,1518,7995,2013,POR
82.0,19855,3207,7134,0.45,770,2071,0.372,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753,2014,POR
82.0,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,2015,POR
82.0,19805,3167,7040,0.45,864,2336,0.37,2303,4704,0.49,1424,1889,0.754,948,2782,3730,1748,562,380,1200,1782,8622,2016,POR
82.0,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851,2017,POR
82.0,19755,3222,7132,0.452,845,2308,0.366,2377,4824,0.493,1372,1715,0.8,835,2893,3728,1599,573,423,1109,1599,8661,2018,POR
82.0,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,2019,POR
74.0,17835,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,1312,1632,0.804,754,2599,3353,1525,465,451,946,1606,8508,2020,POR
72.0,17305,2973,6558,0.453,1132,2939,0.385,1841,3619,0.509,1282,1558,0.823,766,2441,3207,1531,496,363,799,1362,8360,2021,POR
82.0,19730,3161,7144,0.442,1043,3017,0.346,2118,4127,0.513,1346,1771,0.76,854,2661,3515,1880,657,366,1187,1728,8711,2022,POR
82.0,19730,3317,7001,0.474,1056,2893,0.365,2261,4108,0.55,1609,2021,0.796,774,2551,3325,1981,553,376,1185,1643,9299,2023,POR
82.0,19880,3227,7356,0.439,939,2723,0.345,2288,4633,0.494,1329,1680,0.791,1036,2469,3505,1894,627,354,1249,1654,8722,2024,POR
