G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19780,3538,7220,0.49,30,134,0.224,3508,7086,0.495,1818,2338,0.778,1135,2377,3512,2304,602,388,1533,2134,8924,1986,SAC
82.0,19780,3522,7413,0.475,77,307,0.251,3445,7106,0.485,1974,2479,0.796,1282,2441,3723,2185,513,397,1403,2007,9095,1987,SAC
82.0,19780,3458,7337,0.471,144,450,0.32,3314,6887,0.481,1795,2324,0.772,1232,2461,3693,2116,582,493,1457,1895,8855,1988,SAC
82.0,19780,3362,7351,0.457,307,824,0.373,3055,6527,0.468,1620,2104,0.77,1141,2454,3595,1970,624,409,1370,1877,8651,1989,SAC
82.0,19755,3305,7056,0.468,216,649,0.333,3089,6407,0.482,1515,1964,0.771,952,2363,3315,2052,546,392,1239,1863,8341,1990,SAC
82.0,19705,3086,6818,0.453,216,578,0.374,2870,6240,0.46,1540,2105,0.732,1027,2218,3245,1991,631,513,1272,2075,7928,1991,SAC
82.0,19830,3348,7189,0.466,238,675,0.353,3110,6514,0.477,1615,2162,0.747,1054,2354,3408,1957,727,618,1360,1763,8549,1992,SAC
82.0,19780,3360,7264,0.463,262,788,0.332,3098,6476,0.478,1865,2447,0.762,1137,2281,3418,2075,768,348,1364,2085,8847,1993,SAC
82.0,19755,3179,7027,0.452,257,729,0.353,2922,6298,0.464,1676,2292,0.731,1122,2349,3471,2029,669,355,1333,1979,8291,1994,SAC
82.0,19855,3025,6463,0.468,359,1037,0.346,2666,5426,0.491,1647,2317,0.711,1073,2325,3398,1824,650,457,1449,2040,8056,1995,SAC
82.0,19755,2971,6494,0.457,462,1194,0.387,2509,5300,0.473,1759,2407,0.731,1114,2345,3459,1829,643,436,1442,2131,8163,1996,SAC
82.0,19855,3000,6611,0.454,414,1058,0.391,2586,5553,0.466,1494,2067,0.723,1100,2307,3407,1799,588,362,1332,1946,7908,1997,SAC
82.0,19730,2957,6684,0.442,283,806,0.351,2674,5878,0.455,1440,2096,0.687,1094,2304,3398,1836,596,420,1271,1810,7637,1998,SAC
50.0,12200,1918,4307,0.445,290,943,0.308,1628,3364,0.484,883,1293,0.683,706,1573,2279,1129,444,232,842,1016,5009,1999,SAC
82.0,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607,2000,SAC
82.0,20080,3132,6969,0.449,479,1353,0.354,2653,5616,0.472,1600,2075,0.771,987,2705,3692,1852,793,432,1221,1596,8343,2001,SAC
82.0,19755,3267,7003,0.467,426,1160,0.367,2841,5843,0.486,1618,2154,0.751,1013,2702,3715,1958,741,375,1128,1560,8578,2002,SAC
82.0,19830,3242,6990,0.464,491,1288,0.381,2751,5702,0.482,1367,1832,0.746,900,2751,3651,2034,736,457,1192,1666,8342,2003,SAC
82.0,19780,3103,6711,0.462,601,1498,0.401,2502,5213,0.48,1626,2044,0.795,888,2492,3380,2152,710,325,1137,1586,8433,2004,SAC
82.0,19855,3203,6978,0.459,522,1396,0.374,2681,5582,0.48,1577,2004,0.787,1023,2455,3478,2005,674,316,1073,1685,8505,2005,SAC
82.0,19830,2954,6500,0.454,494,1408,0.351,2460,5092,0.483,1704,2173,0.784,852,2473,3325,1825,608,299,1199,1672,8106,2006,SAC
82.0,19805,2941,6532,0.45,530,1513,0.35,2411,5019,0.48,1891,2473,0.765,797,2396,3193,1665,671,265,1194,1792,8303,2007,SAC
82.0,19830,3043,6558,0.464,510,1367,0.373,2533,5191,0.488,1812,2272,0.798,829,2456,3285,1567,651,334,1317,1839,8408,2008,SAC
82.0,19905,2990,6685,0.447,586,1594,0.368,2404,5091,0.472,1682,2107,0.798,840,2366,3206,1619,569,349,1266,1910,8248,2009,SAC
82.0,19880,3144,6895,0.456,482,1383,0.349,2662,5512,0.483,1430,1969,0.726,977,2518,3495,1679,564,366,1226,1827,8200,2010,SAC
82.0,19855,3134,6979,0.449,428,1277,0.335,2706,5702,0.475,1455,1981,0.734,1071,2526,3597,1675,608,391,1324,1805,8151,2011,SAC
