G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19830,3554,7565,0.47,59.0,189.0,0.312,3495,7376,0.474,1730,2253,0.768,1380,2550,3930,2043,750,428,1496,1865,8897,1980,SEA
82.0,19780,3343,7145,0.468,32,117,0.274,3311,7028,0.471,1813,2376,0.763,1167,2434,3601,1945,628,438,1524,1986,8531,1981,SEA
82.0,19830,3505,7178,0.488,38,153,0.248,3467,7025,0.494,1747,2362,0.74,1103,2544,3647,2103,691,460,1351,2057,8795,1982,SEA
82.0,19805,3597,7277,0.494,29,138,0.21,3568,7139,0.5,1796,2459,0.73,1152,2569,3721,2278,677,437,1533,1969,9019,1983,SEA
82.0,19780,3460,7083,0.488,27,140,0.193,3433,6943,0.494,1918,2460,0.78,1064,2332,3396,2233,636,350,1360,1884,8865,1984,SEA
82.0,19705,3277,6910,0.474,45,185,0.243,3232,6725,0.481,1777,2305,0.771,1019,2287,3306,2185,649,343,1493,1974,8376,1985,SEA
82.0,19930,3335,7059,0.472,79,300,0.263,3256,6759,0.482,1815,2331,0.779,1145,2256,3401,1977,745,295,1435,2168,8564,1986,SEA
82.0,19855,3593,7451,0.482,191,571,0.335,3402,6880,0.494,1948,2571,0.758,1373,2395,3768,2184,705,450,1509,2224,9325,1987,SEA
82.0,19855,3544,7443,0.476,221,638,0.346,3323,6805,0.488,1826,2442,0.748,1313,2314,3627,2146,775,447,1376,2380,9135,1988,SEA
82.0,19780,3564,7478,0.477,293,774,0.379,3271,6704,0.488,1775,2379,0.746,1397,2238,3635,2083,864,494,1403,2027,9196,1989,SEA
82.0,19905,3466,7243,0.479,231,650,0.355,3235,6593,0.491,1606,2167,0.741,1323,2255,3578,1874,701,335,1336,2064,8769,1990,SEA
82.0,19880,3500,7117,0.492,136,427,0.319,3364,6690,0.503,1608,2143,0.75,1222,2173,3395,2042,861,380,1404,1973,8744,1991,SEA
82.0,19855,3380,7128,0.474,205,647,0.317,3175,6481,0.49,1772,2263,0.783,1282,2257,3539,1877,775,448,1323,1952,8737,1992,SEA
82.0,19780,3473,7140,0.486,218,610,0.357,3255,6530,0.498,1720,2259,0.761,1222,2254,3476,1906,944,409,1267,1971,8884,1993,SEA
82.0,19730,3338,6901,0.484,242,722,0.335,3096,6179,0.501,1769,2374,0.745,1148,2233,3381,2112,1053,365,1262,1914,8687,1994,SEA
82.0,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055,1995,SEA
82.0,19880,3074,6401,0.48,581,1596,0.364,2493,4805,0.519,1843,2424,0.76,954,2449,3403,1999,882,393,1441,1967,8572,1996,SEA
82.0,19780,2995,6415,0.467,559,1583,0.353,2436,4832,0.504,1725,2295,0.752,1010,2271,3281,1931,904,388,1231,1803,8274,1997,SEA
82.0,19755,3052,6458,0.473,621,1569,0.396,2431,4889,0.497,1521,2109,0.721,931,2225,3156,1986,804,376,1145,1812,8246,1998,SEA
50.0,12100,1756,3976,0.442,309,899,0.344,1447,3077,0.47,922,1354,0.681,676,1422,2098,1087,393,201,765,1047,4743,1999,SEA
82.0,19780,3108,6946,0.447,546,1611,0.339,2562,5335,0.48,1363,1960,0.695,1042,2483,3525,1878,657,345,1152,1776,8125,2000,SEA
82.0,19805,3029,6649,0.456,466,1169,0.399,2563,5480,0.468,1454,1986,0.732,999,2422,3421,1792,657,409,1252,1733,7978,2001,SEA
82.0,19830,3131,6681,0.469,489,1292,0.378,2642,5389,0.49,1263,1672,0.755,968,2333,3301,1926,698,364,1124,1732,8014,2002,SEA
82.0,19855,2887,6599,0.437,456,1291,0.353,2431,5308,0.458,1325,1780,0.744,963,2385,3348,1775,679,295,1085,1712,7555,2003,SEA
82.0,19805,2939,6590,0.446,723,1936,0.373,2216,4654,0.476,1363,1782,0.765,907,2318,3225,1782,661,387,1188,1784,7964,2004,SEA
82.0,19755,2882,6498,0.444,666,1824,0.365,2216,4674,0.474,1683,2131,0.79,1041,2311,3352,1487,553,338,1113,1944,8113,2005,SEA
82.0,19830,3077,6711,0.459,605,1631,0.371,2472,5080,0.487,1652,2104,0.785,1013,2233,3246,1696,622,306,1208,1933,8411,2006,SEA
82.0,19830,3047,6628,0.46,525,1451,0.362,2522,5177,0.487,1511,1911,0.791,928,2322,3250,1695,631,301,1268,1801,8130,2007,SEA
82.0,19830,3125,7032,0.444,313,939,0.333,2812,6093,0.462,1436,1866,0.77,971,2688,3659,1748,531,400,1310,1680,7999,2008,SEA
