G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19805,3382,6817,0.496,59.0,185.0,0.319,3323,6632,0.501,1571,1943,0.809,967,2359,3326,2005,656,362,1543,2006,8394,1980,UTA
82.0,19730,3332,6825,0.488,42,163,0.258,3290,6662,0.494,1595,2080,0.767,962,2325,3287,1948,637,386,1423,2110,8301,1981,UTA
82.0,19780,3679,7446,0.494,22,97,0.227,3657,7349,0.498,1714,2282,0.751,1147,2362,3509,1895,700,357,1435,2196,9094,1982,UTA
82.0,19755,3525,7342,0.48,44,183,0.24,3481,7159,0.486,1844,2440,0.756,1093,2550,3643,2176,758,595,1683,2017,8938,1983,UTA
82.0,19780,3606,7242,0.498,101,317,0.319,3505,6925,0.506,2115,2708,0.781,1096,2522,3618,2230,695,604,1510,1978,9428,1984,UTA
82.0,19755,3478,7302,0.476,103,307,0.336,3375,6995,0.482,1878,2434,0.772,1081,2554,3635,2143,712,697,1575,1961,8937,1985,UTA
82.0,19780,3453,7083,0.488,35,169,0.207,3418,6914,0.494,1930,2694,0.716,1068,2479,3547,2199,717,666,1518,2038,8871,1986,UTA
82.0,19755,3485,7514,0.464,139,448,0.31,3346,7066,0.474,1735,2389,0.726,1194,2456,3650,2240,835,628,1403,2040,8844,1987,UTA
82.0,19705,3484,7092,0.491,129,404,0.319,3355,6688,0.502,1802,2404,0.75,1066,2553,3619,2407,771,627,1481,1986,8899,1988,UTA
82.0,19730,3182,6595,0.482,114,380,0.3,3068,6215,0.494,2110,2742,0.77,1050,2607,3657,2108,720,583,1532,1894,8588,1989,UTA
82.0,19830,3330,6593,0.505,226,630,0.359,3104,5963,0.521,1874,2484,0.754,953,2501,3454,2212,677,491,1410,2031,8760,1990,UTA
82.0,19780,3214,6537,0.492,148,458,0.323,3066,6079,0.504,1951,2472,0.789,867,2474,3341,2217,652,451,1305,1796,8527,1991,UTA
82.0,19880,3379,6866,0.492,158,458,0.345,3221,6408,0.503,1961,2490,0.788,1097,2543,3640,2188,715,448,1264,1746,8877,1992,UTA
82.0,19755,3336,6828,0.489,130,414,0.314,3206,6414,0.5,1907,2491,0.766,1041,2463,3504,2177,746,344,1270,1965,8709,1993,UTA
82.0,19830,3207,6729,0.477,179,559,0.32,3028,6170,0.491,1761,2379,0.74,1059,2385,3444,2179,751,364,1191,1988,8354,1994,UTA
82.0,19780,3243,6339,0.512,301,801,0.376,2942,5538,0.531,1939,2483,0.781,874,2412,3286,2256,758,392,1289,2045,8726,1995,UTA
82.0,19780,3129,6417,0.488,377,1013,0.372,2752,5404,0.509,1769,2302,0.768,993,2373,3366,2139,667,418,1215,2046,8404,1996,UTA
82.0,19830,3131,6217,0.504,334,902,0.37,2797,5315,0.526,1858,2416,0.769,889,2410,3299,2199,748,418,1259,1981,8454,1997,UTA
82.0,19780,2993,6113,0.49,249,670,0.372,2744,5443,0.504,2044,2644,0.773,962,2405,3367,2070,648,412,1259,1961,8279,1998,UTA
50.0,12175,1684,3620,0.465,140,388,0.361,1544,3232,0.478,1158,1510,0.767,555,1508,2063,1204,398,276,814,1133,4666,1999,UTA
82.0,19755,2962,6380,0.464,329,854,0.385,2633,5526,0.476,1661,2150,0.773,936,2426,3362,2041,629,446,1220,2013,7914,2000,UTA
82.0,19780,2960,6289,0.471,325,852,0.381,2635,5437,0.485,1714,2280,0.752,943,2383,3326,2110,661,463,1296,2107,7959,2001,UTA
82.0,19830,2869,6374,0.45,280,842,0.333,2589,5532,0.468,1853,2430,0.763,1109,2349,3458,1999,749,523,1353,1971,7871,2002,UTA
82.0,19780,2894,6189,0.468,224,641,0.349,2670,5548,0.481,1750,2349,0.745,1021,2381,3402,2103,708,467,1374,1837,7762,2003,UTA
82.0,19780,2690,6172,0.436,252,786,0.321,2438,5386,0.453,1639,2196,0.746,1103,2272,3375,1671,583,494,1365,2096,7271,2004,UTA
82.0,19780,2828,6301,0.449,250,762,0.328,2578,5539,0.465,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625,2005,UTA
82.0,19880,2744,6207,0.442,311,925,0.336,2433,5282,0.461,1774,2466,0.719,1071,2380,3451,1772,524,492,1290,2032,7573,2006,UTA
82.0,19805,3069,6471,0.474,354,1056,0.335,2715,5415,0.501,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,2007,UTA
82.0,19705,3279,6592,0.497,407,1095,0.372,2872,5497,0.522,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,2008,UTA
82.0,19880,3143,6623,0.475,392,1122,0.349,2751,5501,0.5,1814,2352,0.771,940,2423,3363,2024,719,374,1210,1830,8492,2009,UTA
82.0,19755,3227,6575,0.491,439,1207,0.364,2788,5368,0.519,1654,2233,0.741,872,2588,3460,2187,675,400,1246,1859,8547,2010,UTA
82.0,19880,3064,6590,0.465,435,1256,0.346,2629,5334,0.493,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,2011,UTA
66.0,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577,2012,UTA
82.0,19880,3046,6710,0.454,507,1385,0.366,2539,5325,0.477,1439,1883,0.764,989,2457,3446,1859,690,515,1210,1750,8038,2013,UTA
82.0,19780,2951,6652,0.444,543,1577,0.344,2408,5075,0.474,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791,2014,UTA
82.0,19705,2900,6492,0.447,610,1781,0.343,2290,4711,0.486,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801,2015,UTA
82.0,19955,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010,2016,UTA
82.0,19755,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,2017,UTA
82.0,19755,3139,6797,0.462,887,2425,0.366,2252,4372,0.515,1375,1766,0.779,740,2807,3547,1839,708,420,1205,1608,8540,2018,UTA
82.0,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,2019,UTA
72.0,17355,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,1278,1641,0.779,656,2577,3233,1615,438,292,1089,1468,8013,2020,UTA
72.0,17355,2971,6344,0.468,1205,3098,0.389,1766,3246,0.544,1235,1546,0.799,765,2709,3474,1703,474,371,1023,1335,8382,2021,UTA
82.0,19730,3327,7067,0.471,1192,3308,0.36,2135,3759,0.568,1470,1916,0.767,884,2916,3800,1836,588,402,1149,1547,9316,2022,UTA
82.0,19805,3485,7365,0.473,1094,3099,0.353,2391,4266,0.56,1536,1955,0.786,968,2794,3762,2129,500,429,1259,1679,9600,2023,UTA
