G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19880,3574,7796,0.458,73.0,238.0,0.307,3501,7558,0.463,1552,2048,0.758,1334,2723,4057,2201,530,443,1380,1893,8773,1980,WSB
82.0,19780,3549,7517,0.472,65,241,0.27,3484,7276,0.479,1499,2072,0.723,1155,2533,3688,2151,641,392,1422,1895,8662,1981,WSB
82.0,19830,3400,7168,0.474,59,236,0.25,3341,6932,0.482,1626,2105,0.772,1047,2583,3630,1983,643,397,1390,2072,8485,1982,WSB
82.0,19805,3306,7059,0.468,70,237,0.295,3236,6822,0.474,1452,2059,0.705,1099,2430,3529,2046,733,400,1588,1958,8134,1983,WSB
82.0,19905,3344,6907,0.484,71,282,0.252,3273,6625,0.494,1664,2201,0.756,1027,2387,3414,2192,556,320,1448,1989,8423,1984,WSB
82.0,19855,3534,7383,0.479,109,398,0.274,3425,6985,0.49,1478,1989,0.743,1012,2395,3407,2088,709,393,1282,1869,8655,1985,WSB
82.0,19855,3311,7148,0.463,116,408,0.284,3195,6740,0.474,1704,2286,0.745,1066,2432,3498,1748,626,716,1346,1796,8442,1986,WSB
82.0,19705,3356,7397,0.454,43,218,0.197,3313,7179,0.461,1935,2531,0.765,1305,2315,3620,1750,755,685,1301,1775,8690,1987,WSB
82.0,19880,3355,7164,0.468,29,138,0.21,3326,7026,0.473,1914,2476,0.773,1229,2297,3526,1875,698,502,1384,1922,8653,1988,WSB
82.0,19855,3519,7591,0.464,52,243,0.214,3467,7348,0.472,1789,2318,0.772,1254,2354,3608,2048,694,325,1291,2054,8879,1989,WSB
82.0,19830,3598,7581,0.475,37,197,0.188,3561,7384,0.482,1599,2093,0.764,1198,2450,3648,2214,561,424,1201,1929,8832,1990,WSB
82.0,19855,3390,7268,0.466,55,284,0.194,3335,6984,0.478,1478,2028,0.729,1173,2390,3563,2081,588,468,1359,1927,8313,1991,WSB
82.0,19855,3364,7301,0.461,146,537,0.272,3218,6764,0.476,1521,1956,0.778,1069,2345,3414,2011,713,422,1254,1852,8395,1992,WSB
82.0,19805,3302,7065,0.467,174,578,0.301,3128,6487,0.482,1575,2107,0.748,1031,2317,3348,2110,673,359,1323,1795,8353,1993,WSB
82.0,19705,3195,6826,0.468,221,744,0.297,2974,6082,0.489,1618,2162,0.748,1071,2189,3260,1823,701,321,1403,1715,8229,1994,WSB
82.0,19855,3176,6899,0.46,433,1264,0.343,2743,5635,0.487,1457,2013,0.724,1044,2219,3263,1749,648,404,1301,1949,8242,1995,WSB
82.0,19805,3202,6618,0.484,493,1212,0.407,2709,5406,0.501,1511,2076,0.728,930,2327,3257,1815,592,506,1327,1981,8408,1996,WSB
82.0,19855,3208,6678,0.48,331,1001,0.331,2877,5677,0.507,1400,1979,0.707,1010,2420,3430,1921,712,402,1289,1815,8147,1997,WSB
