Season,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
2024,82,240.9,39,84.4,11.7,33.4,15.9,20.3,10.1,31.7,41.8,23.2,6.4,4.8,12.2,19.1,105.6,0.462,0.351,0.779,92.7,0.532,11.6,24.1,0.188,113.5,0.566
2023,84,241.2,40.2,87.2,12,34.3,17.2,21.6,10.3,32.8,43.1,23.7,6.8,4.8,12.8,19.6,109.6,0.461,0.351,0.794,96.1,0.53,11.7,24,0.197,113.5,0.566
2022,87,240.3,38.2,83.7,12.3,34.6,17.7,22.6,9.4,32.6,42,22.9,7.1,4.6,13.7,21.5,106.3,0.456,0.355,0.785,95.5,0.529,12.8,22.3,0.212,111.2,0.567
2021,85,241.2,40.2,86.9,12.5,34.3,17.5,22.2,9.9,33.5,43.4,22,6.7,4.4,12.2,20.5,110.3,0.462,0.364,0.786,96.1,0.534,11.2,22.8,0.201,114.3,0.571
2020,83,242.1,38.8,85,13.1,36.3,18.8,23.9,8.8,34.3,43.2,22.9,7,4.3,14,21.8,109.6,0.457,0.36,0.788,97.6,0.534,12.8,20.4,0.221,111.3,0.574
2019,82,242.4,38.5,86.9,11.4,32.9,19.4,24.7,10.2,34.8,45,23,7.1,4.9,12.8,22.2,107.7,0.443,0.345,0.784,96.9,0.508,11.6,22.7,0.223,110,0.551
2018,82,241.2,38.4,84.2,10.5,29.9,17.2,22.5,9.2,33.7,42.8,21.8,7.3,4.8,13.2,20.7,104.4,0.456,0.351,0.765,95.4,0.518,12.3,21.4,0.204,108.9,0.555
2017,79,240.9,38.5,83.7,10.5,29.1,18.5,23.8,9.7,32.1,41.8,22.2,7.6,4.7,13.3,20.8,106,0.46,0.361,0.776,94.9,0.523,12.4,23.2,0.221,111.3,0.563
2016,86,241.5,36.5,83.1,9.1,25.8,17.6,23.6,10.5,32.5,43,19.9,7.3,5,13.2,21.1,99.8,0.44,0.354,0.747,93,0.495,12.4,24.4,0.212,106.7,0.534
2015,81,242.8,36.8,84.5,8.8,25.5,18.1,25,11,34,45,21.8,7.6,5.4,13.5,21.9,100.5,0.435,0.344,0.725,94.4,0.487,12.4,24.5,0.214,105.3,0.526
2014,89,242.5,36.4,80,8,22.3,18.8,24.7,10.2,30.9,41.1,19.8,7.1,4.4,13.3,22,99.5,0.455,0.358,0.763,90.6,0.505,12.8,24.9,0.235,108.7,0.548
2013,85,243.5,35,79.4,7.1,20.6,18.1,24,10.5,30.8,41.3,19.3,7,4.8,13.8,22.2,95.2,0.441,0.344,0.751,89.5,0.486,13.3,25.4,0.227,104.8,0.529
2012,84,241.5,34.5,78.8,5.9,17.8,17.8,23.7,10.7,30.9,41.5,18.4,7.3,5.5,13.4,21.2,92.8,0.438,0.333,0.754,89,0.476,13.1,25.6,0.226,103.6,0.52
2011,81,242.5,34,77.4,6.1,17.9,20,25.8,11,29.7,40.7,18.4,7,5.4,13.5,21.5,94,0.439,0.341,0.774,87.8,0.478,13.2,26.9,0.258,106,0.529
2010,82,240.3,35.2,77.8,6.6,19,20.4,27.1,10.6,29.7,40.3,19.4,6.7,5,13.1,23.3,97.5,0.453,0.349,0.752,89.7,0.496,12.8,26.3,0.262,108.6,0.543
