Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2000,"Tue, Nov 2, 1999",Orlando Magic,86,Charlotte Hornets,100,17461,Charlotte Coliseum
2000,"Tue, Nov 2, 1999",Golden State Warriors,96,Dallas Mavericks,108,12848,Reunion Arena
2000,"Tue, Nov 2, 1999",Phoenix Suns,102,Denver Nuggets,107,19099,Pepsi Center
2000,"Tue, Nov 2, 1999",Milwaukee Bucks,98,Houston Rockets,93,14491,Compaq Center
2000,"Tue, Nov 2, 1999",Seattle SuperSonics,104,Los Angeles Clippers,92,17847,STAPLES Center
2000,"Tue, Nov 2, 1999",Detroit Pistons,122,Miami Heat,128,14623,Miami Arena
2000,"Tue, Nov 2, 1999",Indiana Pacers,119,New Jersey Nets,112,13051,Continental Airlines Arena
2000,"Tue, Nov 2, 1999",Cleveland Cavaliers,84,New York Knicks,92,19763,Madison Square Garden (IV)
2000,"Tue, Nov 2, 1999",Philadelphia 76ers,76,San Antonio Spurs,89,27288,Alamodome
2000,"Tue, Nov 2, 1999",Boston Celtics,103,Toronto Raptors,90,17711,Air Canada Centre
2000,"Tue, Nov 2, 1999",Los Angeles Lakers,91,Utah Jazz,84,19911,Delta Center
2000,"Tue, Nov 2, 1999",Portland Trail Blazers,106,Vancouver Grizzlies,86,18218,General Motors Place
2000,"Tue, Nov 2, 1999",Atlanta Hawks,87,Washington Wizards,94,16038,MCI Center
2000,"Wed, Nov 3, 1999",Washington Wizards,101,Boston Celtics,112,16082,FleetCenter
2000,"Wed, Nov 3, 1999",New York Knicks,84,Chicago Bulls,74,22176,United Center
2000,"Wed, Nov 3, 1999",New Jersey Nets,90,Cleveland Cavaliers,97,16777,Gund Arena
2000,"Wed, Nov 3, 1999",Vancouver Grizzlies,88,Los Angeles Lakers,103,18997,STAPLES Center
2000,"Wed, Nov 3, 1999",Detroit Pistons,94,Orlando Magic,103,14253,TD Waterhouse Centre
2000,"Wed, Nov 3, 1999",Los Angeles Clippers,98,Portland Trail Blazers,121,20584,Rose Garden Arena
2000,"Thu, Nov 4, 1999",Milwaukee Bucks,119,Atlanta Hawks,109,18514,Philips Arena
2000,"Thu, Nov 4, 1999",Indiana Pacers,89,Charlotte Hornets,98,15762,Charlotte Coliseum
2000,"Thu, Nov 4, 1999",Philadelphia 76ers,80,Phoenix Suns,84,19023,America West Arena
2000,"Thu, Nov 4, 1999",Golden State Warriors,81,San Antonio Spurs,104,14508,Alamodome
2000,"Thu, Nov 4, 1999",Dallas Mavericks,96,Seattle SuperSonics,106,16140,KeyArena at Seattle Center
2000,"Thu, Nov 4, 1999",Miami Heat,86,Toronto Raptors,97,16389,Air Canada Centre
2000,"Thu, Nov 4, 1999",Houston Rockets,82,Utah Jazz,98,19142,Delta Center
2000,"Fri, Nov 5, 1999",Charlotte Hornets,100,Boston Celtics,103,16582,FleetCenter
2000,"Fri, Nov 5, 1999",Miami Heat,105,Chicago Bulls,87,21972,United Center
