Season,Rank,Team,Record,Margin 3 Less,Margin 10 or More
2000,1,Los Angeles Lakers,67-15,8-1,34-7
2000,2,Portland Trail Blazers,59-23,4-7,32-7
2000,3,Indiana Pacers,56-26,8-5,28-13
2000,4,Utah Jazz,55-27,7-8,31-9
2000,5,Phoenix Suns,53-29,7-9,27-10
2000,6,San Antonio Spurs,53-29,8-7,31-11
2000,7,Miami Heat,52-30,9-2,26-15
2000,8,Minnesota Timberwolves,50-32,11-4,23-15
2000,9,New York Knicks,50-32,9-5,20-13
2000,10,Charlotte Hornets,49-33,7-5,24-16
2000,11,Philadelphia 76ers,49-33,17-8,18-14
2000,12,Seattle SuperSonics,45-37,8-7,22-17
2000,13,Toronto Raptors,45-37,13-4,20-20
2000,14,Sacramento Kings,44-38,3-6,28-16
2000,15,Detroit Pistons,42-40,6-6,21-16
2000,16,Milwaukee Bucks,42-40,11-7,18-17
2000,17,Orlando Magic,41-41,6-7,20-16
2000,18,Dallas Mavericks,40-42,6-7,18-19
2000,19,Boston Celtics,35-47,4-13,18-19
2000,20,Denver Nuggets,35-47,10-8,12-27
2000,21,Houston Rockets,34-48,6-7,16-22
2000,22,Cleveland Cavaliers,32-50,7-11,12-21
2000,23,New Jersey Nets,31-51,6-14,15-15
2000,24,Washington Wizards,29-53,2-10,15-22
2000,25,Atlanta Hawks,28-54,4-7,11-32
2000,26,Vancouver Grizzlies,22-60,5-10,10-33
2000,27,Golden State Warriors,19-63,2-4,10-39
2000,28,Chicago Bulls,17-65,6-9,3-38
2000,29,Los Angeles Clippers,15-67,3-5,3-47
2001,1,San Antonio Spurs,58-24,3-7,40-6
2001,2,Los Angeles Lakers,56-26,10-5,24-13
2001,3,Philadelphia 76ers,56-26,6-4,26-12
2001,4,Sacramento Kings,55-27,6-9,28-8
2001,5,Dallas Mavericks,53-29,4-5,28-14
2001,6,Utah Jazz,53-29,5-4,31-9
2001,7,Milwaukee Bucks,52-30,3-7,20-12
2001,8,Phoenix Suns,51-31,7-4,18-13
2001,9,Miami Heat,50-32,9-9,18-12
2001,10,Portland Trail Blazers,50-32,4-4,29-13
2001,11,New York Knicks,48-34,12-5,24-14
2001,12,Minnesota Timberwolves,47-35,7-4,22-14
2001,13,Toronto Raptors,47-35,6-7,26-15
2001,14,Charlotte Hornets,46-36,7-8,23-11
2001,15,Houston Rockets,45-37,4-10,25-14
2001,16,Seattle SuperSonics,44-38,10-4,20-18
2001,17,Orlando Magic,43-39,7-7,21-17
2001,18,Indiana Pacers,41-41,6-6,18-21
2001,19,Denver Nuggets,40-42,12-6,14-25
2001,20,Boston Celtics,36-46,10-7,11-20
2001,21,Detroit Pistons,32-50,2-3,16-17
2001,22,Los Angeles Clippers,31-51,5-8,13-25
2001,23,Cleveland Cavaliers,30-52,6-5,10-27
2001,24,New Jersey Nets,26-56,7-9,11-32
2001,25,Atlanta Hawks,25-57,5-4,10-25
2001,26,Vancouver Grizzlies,23-59,3-11,13-37
2001,27,Washington Wizards,19-63,3-7,4-31
2001,28,Golden State Warriors,17-65,6-5,6-40
2001,29,Chicago Bulls,15-67,3-4,3-37
2002,1,Sacramento Kings,61-21,6-1,39-15
2002,2,Los Angeles Lakers,58-24,7-5,33-10
2002,3,San Antonio Spurs,58-24,7-7,34-7
2002,4,Dallas Mavericks,57-25,6-6,31-11
2002,5,New Jersey Nets,52-30,9-6,26-14
2002,6,Detroit Pistons,50-32,9-8,19-14
2002,7,Minnesota Timberwolves,50-32,9-5,27-12
2002,8,Boston Celtics,49-33,8-9,19-13
2002,9,Portland Trail Blazers,49-33,5-9,20-17
2002,10,Seattle SuperSonics,45-37,6-8,30-15
2002,11,Charlotte Hornets,44-38,6-6,17-16
2002,12,Orlando Magic,44-38,4-3,23-19
2002,13,Utah Jazz,44-38,6-7,21-14
