Season,Player,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
2010,Stephen Curry,528,1143,0.462,166,380,0.437,0.535,234,0.443
2011,Stephen Curry,505,1053,0.48,151,342,0.442,0.551,212,0.42
2012,Stephen Curry,145,296,0.49,55,121,0.455,0.583,73,0.503
2013,Stephen Curry,626,1388,0.451,272,600,0.453,0.549,256,0.409
2014,Stephen Curry,652,1383,0.471,261,615,0.424,0.566,196,0.301
2015,Stephen Curry,653,1341,0.487,286,646,0.443,0.594,289,0.443
2016,Stephen Curry,805,1597,0.504,402,887,0.453,0.63,370,0.46
2017,Stephen Curry,675,1443,0.468,324,789,0.411,0.58,352,0.521
2018,Stephen Curry,428,864,0.495,212,501,0.423,0.618,221,0.516
2019,Stephen Curry,632,1340,0.472,354,810,0.437,0.604,373,0.59
2020,Stephen Curry,33,82,0.402,12,49,0.245,0.476,15,0.455
2021,Stephen Curry,658,1365,0.482,337,801,0.421,0.605,330,0.502
2022,Stephen Curry,535,1224,0.437,285,750,0.38,0.554,255,0.477
2023,Stephen Curry,559,1133,0.493,273,639,0.427,0.614,268,0.479
2024,Stephen Curry,650,1445,0.45,357,876,0.408,0.573,335,0.515
1997,Kobe Bryant,176,422,0.417,51,136,0.375,0.477,90,0.511
1998,Kobe Bryant,391,913,0.428,75,220,0.341,0.469,202,0.517
1999,Kobe Bryant,362,779,0.465,27,101,0.267,0.482,149,0.412
2000,Kobe Bryant,554,1183,0.468,46,144,0.319,0.488,248,0.448
2001,Kobe Bryant,701,1510,0.464,61,200,0.305,0.484,293,0.418
2002,Kobe Bryant,749,1597,0.469,33,132,0.25,0.479,279,0.372
2003,Kobe Bryant,866,1920,0.451,124,324,0.383,0.483,347,0.401
2004,Kobe Bryant,516,1178,0.438,71,217,0.327,0.468,242,0.469
2005,Kobe Bryant,573,1324,0.433,131,387,0.339,0.482,196,0.342
2006,Kobe Bryant,978,2173,0.45,180,518,0.347,0.491,428,0.438
2007,Kobe Bryant,813,1757,0.463,137,398,0.344,0.502,325,0.4
2008,Kobe Bryant,775,1690,0.459,150,415,0.361,0.503,310,0.4
2009,Kobe Bryant,800,1712,0.467,118,336,0.351,0.502,298,0.372
2010,Kobe Bryant,716,1568,0.457,99,301,0.329,0.488,290,0.405
2011,Kobe Bryant,740,1639,0.451,115,356,0.323,0.487,278,0.376
2012,Kobe Bryant,574,1336,0.43,87,287,0.303,0.462,255,0.444
2013,Kobe Bryant,738,1595,0.463,132,407,0.324,0.504,245,0.332
2014,Kobe Bryant,31,73,0.425,3,16,0.188,0.445,9,0.29
2015,Kobe Bryant,266,713,0.373,54,184,0.293,0.411,84,0.316
2016,Kobe Bryant,398,1112,0.358,133,466,0.285,0.418,179,0.45
2004,LeBron James,622,1492,0.417,63,217,0.29,0.438,294,0.473
2005,LeBron James,795,1684,0.472,108,308,0.351,0.504,360,0.453
2006,LeBron James,875,1823,0.48,127,379,0.335,0.515,280,0.32
2007,LeBron James,772,1621,0.476,99,310,0.319,0.507,265,0.343
2008,LeBron James,794,1642,0.484,113,359,0.315,0.518,272,0.343
2009,LeBron James,789,1613,0.489,132,384,0.344,0.53,265,0.336
2010,LeBron James,768,1528,0.503,129,387,0.333,0.545,280,0.365
2011,LeBron James,758,1485,0.51,92,279,0.33,0.541,245,0.323
2012,LeBron James,621,1169,0.531,54,149,0.362,0.554,232,0.374
2013,LeBron James,765,1354,0.565,103,254,0.406,0.603,307,0.401
2014,LeBron James,767,1353,0.567,116,306,0.379,0.61,319,0.416
2015,LeBron James,624,1279,0.488,120,339,0.354,0.535,215,0.345
2016,LeBron James,737,1416,0.52,87,282,0.309,0.551,298,0.404
2017,LeBron James,736,1344,0.548,124,342,0.363,0.594,278,0.378
2018,LeBron James,857,1580,0.542,149,406,0.367,0.59,266,0.31
2019,LeBron James,558,1095,0.51,111,327,0.339,0.56,190,0.341
2020,LeBron James,643,1303,0.493,148,425,0.348,0.55,186,0.289
2021,LeBron James,422,822,0.513,104,285,0.365,0.577,158,0.374
2022,LeBron James,640,1221,0.524,161,448,0.359,0.59,285,0.445
2023,LeBron James,609,1217,0.5,121,377,0.321,0.55,269,0.442
2024,LeBron James,685,1269,0.54,149,363,0.41,0.599,335,0.489
2008,Kevin Durant,587,1366,0.43,59,205,0.288,0.451,348,0.593
2009,Kevin Durant,661,1390,0.476,97,230,0.422,0.51,375,0.567
2010,Kevin Durant,794,1668,0.476,128,351,0.365,0.514,413,0.52
2011,Kevin Durant,711,1538,0.462,145,414,0.35,0.509,444,0.624
2012,Kevin Durant,643,1297,0.496,133,344,0.387,0.547,309,0.481
2013,Kevin Durant,731,1433,0.51,139,334,0.416,0.559,377,0.516
2014,Kevin Durant,849,1688,0.503,192,491,0.391,0.56,401,0.472
2015,Kevin Durant,238,467,0.51,64,159,0.403,0.578,131,0.55
2016,Kevin Durant,698,1381,0.505,186,480,0.388,0.573,384,0.55
2017,Kevin Durant,551,1026,0.537,116,311,0.373,0.594,339,0.615
2018,Kevin Durant,630,1221,0.516,173,413,0.419,0.587,342,0.543
2019,Kevin Durant,721,1383,0.521,137,388,0.353,0.571,353,0.49
2021,Kevin Durant,324,603,0.537,85,189,0.45,0.608,169,0.522
2022,Kevin Durant,578,1115,0.518,115,300,0.383,0.57,295,0.51
2023,Kevin Durant,483,862,0.56,93,230,0.404,0.614,242,0.501
2024,Kevin Durant,751,1436,0.523,168,407,0.413,0.581,435,0.579
