Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd,Player,Season
Season,Regular Season,173,418,.414,41,118,.347,.463,111,.642,Giannis Antetokounmpo,2014
Season,Regular Season,383,780,.491,7,44,.159,.496,201,.525,Giannis Antetokounmpo,2015
Season,Regular Season,513,1012,.507,28,110,.255,.521,258,.503,Giannis Antetokounmpo,2016
Season,Regular Season,656,1257,.522,49,180,.272,.541,290,.442,Giannis Antetokounmpo,2017
Season,Regular Season,742,1402,.529,43,140,.307,.545,339,.457,Giannis Antetokounmpo,2018
Season,Regular Season,721,1247,.578,52,203,.256,.599,351,.487,Giannis Antetokounmpo,2019
Season,Regular Season,685,1238,.553,89,293,.304,.589,310,.453,Giannis Antetokounmpo,2020
Season,Regular Season,626,1100,.569,67,221,.303,.600,259,.414,Giannis Antetokounmpo,2021
Season,Regular Season,689,1245,.553,71,242,.293,.582,297,.431,Giannis Antetokounmpo,2022
Season,Regular Season,707,1279,.553,47,171,.275,.571,303,.429,Giannis Antetokounmpo,2023
Season,Regular Season,837,1369,.611,34,124,.274,.624,426,.509,Giannis Antetokounmpo,2024
Season,Regular Season,306,599,.511,28,84,.333,.534,192,.627,Nikola Jokic,2016
Season,Regular Season,494,857,.576,45,139,.324,.603,296,.599,Nikola Jokic,2017
Season,Regular Season,504,1008,.500,111,280,.396,.555,312,.619,Nikola Jokic,2018
Season,Regular Season,616,1206,.511,83,270,.307,.545,332,.539,Nikola Jokic,2019
Season,Regular Season,565,1071,.528,80,255,.314,.565,316,.559,Nikola Jokic,2020
Season,Regular Season,732,1293,.566,92,237,.388,.602,399,.545,Nikola Jokic,2021
Season,Regular Season,764,1311,.583,97,288,.337,.620,476,.623,Nikola Jokic,2022
Season,Regular Season,646,1022,.632,57,149,.383,.660,405,.627,Nikola Jokic,2023
Season,Regular Season,822,1411,.583,83,231,.359,.612,490,.596,Nikola Jokic,2024
Season,Regular Season,397,835,.475,105,242,.434,.538,262,.660,Jayson Tatum,2018
Season,Regular Season,466,1036,.450,116,311,.373,.506,273,.586,Jayson Tatum,2019
Season,Regular Season,552,1226,.450,189,469,.403,.527,260,.471,Jayson Tatum,2020
Season,Regular Season,605,1318,.459,187,485,.386,.530,247,.408,Jayson Tatum,2021
Season,Regular Season,708,1564,.453,230,651,.353,.526,335,.473,Jayson Tatum,2022
Season,Regular Season,727,1559,.466,240,688,.349,.543,406,.558,Jayson Tatum,2023
Season,Regular Season,672,1426,.471,229,609,.376,.552,269,.400,Jayson Tatum,2024
Season,Regular Season,367,867,.423,99,289,.343,.480,200,.545,Devin Booker,2016
Season,Regular Season,606,1430,.424,147,405,.363,.475,265,.437,Devin Booker,2017
Season,Regular Season,455,1054,.432,147,384,.383,.501,194,.426,Devin Booker,2018
Season,Regular Season,586,1255,.467,135,414,.326,.521,211,.360,Devin Booker,2019
Season,Regular Season,627,1283,.489,141,398,.354,.544,288,.459,Devin Booker,2020
Season,Regular Season,623,1287,.484,126,371,.340,.533,279,.448,Devin Booker,2021
Season,Regular Season,662,1421,.466,183,478,.383,.530,307,.464,Devin Booker,2022
Season,Regular Season,527,1067,.494,111,316,.351,.546,237,.450,Devin Booker,2023
Season,Regular Season,642,1305,.492,152,418,.364,.550,276,.430,Devin Booker,2024
Season,Regular Season,436,1095,.398,35,129,.271,.414,119,.273,Russell Westbrook,2009
Season,Regular Season,485,1160,.418,23,104,.221,.428,98,.202,Russell Westbrook,2010
Season,Regular Season,614,1390,.442,34,103,.330,.454,108,.176,Russell Westbrook,2011
Season,Regular Season,578,1266,.457,62,196,.316,.481,126,.218,Russell Westbrook,2012
Season,Regular Season,673,1535,.438,97,300,.323,.470,167,.248,Russell Westbrook,2013
Season,Regular Season,346,791,.437,68,214,.318,.480,113,.327,Russell Westbrook,2014
Season,Regular Season,627,1471,.426,86,288,.299,.455,144,.230,Russell Westbrook,2015
Season,Regular Season,656,1444,.454,101,341,.296,.489,141,.215,Russell Westbrook,2016
Season,Regular Season,824,1940,.425,200,583,.343,.476,155,.188,Russell Westbrook,2017
Season,Regular Season,757,1687,.449,97,326,.298,.477,154,.203,Russell Westbrook,2018
Season,Regular Season,630,1473,.428,119,411,.290,.468,160,.254,Russell Westbrook,2019
Season,Regular Season,604,1281,.472,55,213,.258,.493,165,.273,Russell Westbrook,2020
Season,Regular Season,544,1238,.439,86,273,.315,.474,129,.237,Russell Westbrook,2021
Season,Regular Season,548,1233,.444,79,265,.298,.476,160,.292,Russell Westbrook,2022
Season,Regular Season,432,991,.436,89,286,.311,.481,138,.319,Russell Westbrook,2023
Season,Regular Season,301,663,.454,42,154,.273,.486,134,.445,Russell Westbrook,2024
